id,source_2,trn,registry,cutoff,source_3
tri00130,ictrp,ChiCTR2000030092,ChiCTR,2,ictrp
tri00131,ictrp,ChiCTR2000030090,ChiCTR,2,ictrp
tri00132,ictrp,ChiCTR2000030089,ChiCTR,2,ictrp
tri00133,ictrp,ChiCTR2000030088,ChiCTR,2,ictrp
tri00134,ictrp,ChiCTR2000030087,ChiCTR,2,ictrp
tri00135,ictrp,ChiCTR2000030086,ChiCTR,2,ictrp
tri00136,ictrp,ChiCTR2000030084,ChiCTR,2,ictrp
tri00137,ictrp,ChiCTR2000030058,ChiCTR,2,ictrp
tri00138,ictrp,ChiCTR2000030056,ChiCTR,2,ictrp
tri00139,ictrp,ChiCTR2000030054,ChiCTR,2,ictrp
tri00140,ictrp,ChiCTR2000030046,ChiCTR,2,ictrp
tri00141,ictrp,ChiCTR2000030043,ChiCTR,2,ictrp
tri00142,ictrp,ChiCTR2000030041,ChiCTR,2,ictrp
tri00143,ictrp,ChiCTR2000030039,ChiCTR,2,ictrp
tri00144,ictrp,ChiCTR2000030034,ChiCTR,2,ictrp
tri00145,ictrp,ChiCTR2000030033,ChiCTR,2,ictrp
tri00146,ictrp,ChiCTR2000030032,ChiCTR,2,ictrp
tri00147,ictrp,ChiCTR2000030030,ChiCTR,2,ictrp
tri00148,ictrp,ChiCTR2000030029,ChiCTR,2,ictrp
tri00149,ictrp,ChiCTR2000030027,ChiCTR,2,ictrp
tri00150,ictrp,ChiCTR2000030021,ChiCTR,2,ictrp
tri00151,ictrp,ChiCTR2000030020,ChiCTR,2,ictrp
tri00152,ictrp,ChiCTR2000030019,ChiCTR,2,ictrp
tri00153,ictrp,ChiCTR2000030017,ChiCTR,2,ictrp
tri00154,ictrp,ChiCTR2000030016,ChiCTR,2,ictrp
tri00155,ictrp,ChiCTR2000030015,ChiCTR,2,ictrp
tri00156,ictrp,ChiCTR2000030012,ChiCTR,2,ictrp
tri00157,ictrp,ChiCTR2000030010,ChiCTR,2,ictrp
tri00158,ictrp,ChiCTR2000030008,ChiCTR,2,ictrp
tri00159,ictrp,ChiCTR2000030007,ChiCTR,2,ictrp
tri00160,ictrp,ChiCTR2000030006,ChiCTR,2,ictrp
tri00161,ictrp,ChiCTR2000030004,ChiCTR,2,ictrp
tri00162,ictrp,ChiCTR2000030003,ChiCTR,2,ictrp
tri00163,ictrp,ChiCTR2000030002,ChiCTR,2,ictrp
tri00164,ictrp,ChiCTR2000030001,ChiCTR,2,ictrp
tri00165,ictrp,ChiCTR2000030000,ChiCTR,2,ictrp
tri00166,ictrp,ChiCTR2000029999,ChiCTR,2,ictrp
tri00167,ictrp,ChiCTR2000029996,ChiCTR,2,ictrp
tri00168,ictrp,ChiCTR2000029995,ChiCTR,2,ictrp
tri00169,ictrp,ChiCTR2000029994,ChiCTR,2,ictrp
tri00170,ictrp,ChiCTR2000029992,ChiCTR,2,ictrp
tri00171,ictrp,ChiCTR2000029990,ChiCTR,2,ictrp
tri00172,ictrp,ChiCTR2000029989,ChiCTR,2,ictrp
tri00173,ictrp,ChiCTR2000029988,ChiCTR,2,ictrp
tri00174,ictrp,ChiCTR2000029985,ChiCTR,2,ictrp
tri00175,ictrp,ChiCTR2000029981,ChiCTR,2,ictrp
tri00176,ictrp,ChiCTR2000029978,ChiCTR,2,ictrp
tri00177,ictrp,ChiCTR2000029974,ChiCTR,2,ictrp
tri00178,ictrp,ChiCTR2000029972,ChiCTR,2,ictrp
tri00179,ictrp,ChiCTR2000029960,ChiCTR,2,ictrp
tri00180,ictrp,ChiCTR2000029959,ChiCTR,2,ictrp
tri00181,ictrp,ChiCTR2000029956,ChiCTR,2,ictrp
tri00182,ictrp,ChiCTR2000029954,ChiCTR,2,ictrp
tri00183,ictrp,ChiCTR2000029866,ChiCTR,2,ictrp
tri00184,ictrp,ChiCTR2000029865,ChiCTR,2,ictrp
tri00185,ictrp,ChiCTR2000029851,ChiCTR,2,ictrp
tri00186,ictrp,ChiCTR2000029803,ChiCTR,2,ictrp
tri00187,ictrp,ChiCTR2000029781,ChiCTR,2,ictrp
tri00188,ictrp,ChiCTR2000029780,ChiCTR,2,ictrp
tri00189,ictrp,ChiCTR2000029740,ChiCTR,2,ictrp
tri00190,ictrp,NCT04270383,ClinicalTrials.gov,2,ictrp
tri00191,ictrp,NCT04273529,ClinicalTrials.gov,2,ictrp
tri00192,ictrp,NCT04273581,ClinicalTrials.gov,2,ictrp
tri00193,ictrp,NCT04275245,ClinicalTrials.gov,2,ictrp
tri00194,ictrp,NCT04275947,ClinicalTrials.gov,2,ictrp
tri00195,ictrp,NCT04279197,ClinicalTrials.gov,2,ictrp
tri00196,ictrp,NCT04279782,ClinicalTrials.gov,2,ictrp
tri00197,ictrp,NCT04279795,ClinicalTrials.gov,2,ictrp
tri00198,ictrp,NCT04279899,ClinicalTrials.gov,2,ictrp
tri00199,ictrp,NCT04280588,ClinicalTrials.gov,2,ictrp
tri00200,ictrp,ChiCTR2000030442,ChiCTR,2,ictrp
tri00201,ictrp,ChiCTR2000030433,ChiCTR,2,ictrp
tri00202,ictrp,ChiCTR2000030432,ChiCTR,2,ictrp
tri00203,ictrp,ChiCTR2000030424,ChiCTR,2,ictrp
tri00204,ictrp,ChiCTR2000030420,ChiCTR,2,ictrp
tri00205,ictrp,ChiCTR2000030418,ChiCTR,2,ictrp
tri00206,ictrp,ChiCTR2000030398,ChiCTR,2,ictrp
tri00207,ictrp,ChiCTR2000030391,ChiCTR,2,ictrp
tri00208,ictrp,ChiCTR2000030390,ChiCTR,2,ictrp
tri00209,ictrp,ChiCTR2000030389,ChiCTR,2,ictrp
tri00210,ictrp,ChiCTR2000030387,ChiCTR,2,ictrp
tri00211,ictrp,ChiCTR2000030386,ChiCTR,2,ictrp
tri00212,ictrp,ChiCTR2000030382,ChiCTR,2,ictrp
tri00213,ictrp,ChiCTR2000030363,ChiCTR,2,ictrp
tri00214,ictrp,ChiCTR2000030334,ChiCTR,2,ictrp
tri00216,ictrp,ChiCTR2000030327,ChiCTR,2,ictrp
tri00217,ictrp,ChiCTR2000030325,ChiCTR,2,ictrp
tri00218,ictrp,ChiCTR2000030324,ChiCTR,2,ictrp
tri00219,ictrp,ChiCTR2000030322,ChiCTR,2,ictrp
tri00220,ictrp,ChiCTR2000030317,ChiCTR,2,ictrp
tri00221,ictrp,ChiCTR2000030315,ChiCTR,2,ictrp
tri00222,ictrp,ChiCTR2000030314,ChiCTR,2,ictrp
tri00223,ictrp,ChiCTR2000030305,ChiCTR,2,ictrp
tri00224,ictrp,ChiCTR2000030293,ChiCTR,2,ictrp
tri00225,ictrp,ChiCTR2000030290,ChiCTR,2,ictrp
tri00226,ictrp,ChiCTR2000030283,ChiCTR,2,ictrp
tri00227,ictrp,ChiCTR2000030265,ChiCTR,2,ictrp
tri00228,ictrp,ChiCTR2000030264,ChiCTR,2,ictrp
tri00229,ictrp,ChiCTR2000030263,ChiCTR,2,ictrp
tri00230,ictrp,ChiCTR2000030261,ChiCTR,2,ictrp
tri00231,ictrp,ChiCTR2000030260,ChiCTR,2,ictrp
tri00232,ictrp,ChiCTR2000030259,ChiCTR,2,ictrp
tri00233,ictrp,ChiCTR2000030258,ChiCTR,2,ictrp
tri00234,ictrp,ChiCTR2000030257,ChiCTR,2,ictrp
tri00235,ictrp,ChiCTR2000030255,ChiCTR,2,ictrp
tri00236,ictrp,ChiCTR2000030253,ChiCTR,2,ictrp
tri00237,ictrp,ChiCTR2000030226,ChiCTR,2,ictrp
tri00238,ictrp,ChiCTR2000030225,ChiCTR,2,ictrp
tri00239,ictrp,ChiCTR2000030223,ChiCTR,2,ictrp
tri00240,ictrp,ChiCTR2000030222,ChiCTR,2,ictrp
tri00241,ictrp,ChiCTR2000030219,ChiCTR,2,ictrp
tri00242,ictrp,ChiCTR2000030218,ChiCTR,2,ictrp
tri00243,ictrp,ChiCTR2000030215,ChiCTR,2,ictrp
tri00244,ictrp,ChiCTR2000030196,ChiCTR,2,ictrp
tri00245,ictrp,ChiCTR2000030162,ChiCTR,2,ictrp
tri00246,ictrp,ChiCTR2000030091,ChiCTR,2,ictrp
tri00247,ictrp,ChiCTR2000030042,ChiCTR,2,ictrp
tri00248,ictrp,ChiCTR2000030022,ChiCTR,2,ictrp
tri00249,ictrp,ChiCTR2000030013,ChiCTR,2,ictrp
tri00250,ictrp,ChiCTR2000029991,ChiCTR,2,ictrp
tri00251,ictrp,ChiCTR2000029975,ChiCTR,2,ictrp
tri00252,ictrp,ChiCTR2000029952,ChiCTR,2,ictrp
tri00253,ictrp,ChiCTR2000029900,ChiCTR,2,ictrp
tri00254,ictrp,ChiCTR2000029899,ChiCTR,2,ictrp
tri00255,ictrp,ChiCTR2000029898,ChiCTR,2,ictrp
tri00256,ictrp,ChiCTR2000029829,ChiCTR,2,ictrp
tri00257,ictrp,ChiCTR2000029762,ChiCTR,2,ictrp
tri00258,ictrp,ChiCTR2000029761,ChiCTR,2,ictrp
tri00259,ictrp,ChiCTR2000029760,ChiCTR,2,ictrp
tri00260,ictrp,ChiCTR2000029759,ChiCTR,2,ictrp
tri00261,ictrp,ChiCTR2000029755,ChiCTR,2,ictrp
tri00262,ictrp,ChiCTR2000029728,ChiCTR,2,ictrp
tri00263,ictrp,ChiCTR2000029387,ChiCTR,2,ictrp
tri00264,ictrp,ChiCTR2000029386,ChiCTR,2,ictrp
tri00265,ictrp,NCT04276987,ClinicalTrials.gov,2,ictrp
tri00266,ictrp,NCT04281693,ClinicalTrials.gov,2,ictrp
tri00267,ictrp,NCT04282902,ClinicalTrials.gov,2,ictrp
tri00267,auto,ChiCTR2000030333,ChiCTR,2,auto
tri00268,ictrp,NCT04284046,ClinicalTrials.gov,2,ictrp
tri00269,ictrp,NCT04286503,ClinicalTrials.gov,2,ictrp
tri00270,ictrp,ChiCTR2000030627,ChiCTR,2,ictrp
tri00271,ictrp,ChiCTR2000030593,ChiCTR,2,ictrp
tri00272,ictrp,ChiCTR2000030581,ChiCTR,2,ictrp
tri00273,ictrp,ChiCTR2000030579,ChiCTR,2,ictrp
tri00274,ictrp,ChiCTR2000030578,ChiCTR,2,ictrp
tri00275,ictrp,ChiCTR2000030574,ChiCTR,2,ictrp
tri00276,ictrp,ChiCTR2000030564,ChiCTR,2,ictrp
tri00277,ictrp,ChiCTR2000030559,ChiCTR,2,ictrp
tri00278,ictrp,ChiCTR2000030557,ChiCTR,2,ictrp
tri00279,ictrp,ChiCTR2000030556,ChiCTR,2,ictrp
tri00280,ictrp,ChiCTR2000030552,ChiCTR,2,ictrp
tri00281,ictrp,ChiCTR2000030544,ChiCTR,2,ictrp
tri00282,ictrp,ChiCTR2000030543,ChiCTR,2,ictrp
tri00283,ictrp,ChiCTR2000030542,ChiCTR,2,ictrp
tri00284,ictrp,ChiCTR2000030541,ChiCTR,2,ictrp
tri00285,ictrp,ChiCTR2000030540,ChiCTR,2,ictrp
tri00286,ictrp,ChiCTR2000030535,ChiCTR,2,ictrp
tri00287,ictrp,ChiCTR2000030522,ChiCTR,2,ictrp
tri00288,ictrp,ChiCTR2000030518,ChiCTR,2,ictrp
tri00289,ictrp,ChiCTR2000030503,ChiCTR,2,ictrp
tri00290,ictrp,ChiCTR2000030493,ChiCTR,2,ictrp
tri00291,ictrp,ChiCTR2000030492,ChiCTR,2,ictrp
tri00292,ictrp,ChiCTR2000030491,ChiCTR,2,ictrp
tri00293,ictrp,ChiCTR2000030490,ChiCTR,2,ictrp
tri00294,ictrp,ChiCTR2000030489,ChiCTR,2,ictrp
tri00295,ictrp,ChiCTR2000030487,ChiCTR,2,ictrp
tri00296,ictrp,ChiCTR2000030485,ChiCTR,2,ictrp
tri00297,ictrp,ChiCTR2000030484,ChiCTR,2,ictrp
tri00298,ictrp,ChiCTR2000030482,ChiCTR,2,ictrp
tri00299,ictrp,ChiCTR2000030481,ChiCTR,2,ictrp
tri00300,ictrp,ChiCTR2000030480,ChiCTR,2,ictrp
tri00301,ictrp,ChiCTR2000030479,ChiCTR,2,ictrp
tri00302,ictrp,ChiCTR2000030477,ChiCTR,2,ictrp
tri00303,ictrp,ChiCTR2000030475,ChiCTR,2,ictrp
tri00304,ictrp,ChiCTR2000030472,ChiCTR,2,ictrp
tri00305,ictrp,ChiCTR2000030471,ChiCTR,2,ictrp
tri00306,ictrp,ChiCTR2000030469,ChiCTR,2,ictrp
tri00307,ictrp,ChiCTR2000030468,ChiCTR,2,ictrp
tri00308,ictrp,ChiCTR2000030467,ChiCTR,2,ictrp
tri00309,ictrp,ChiCTR2000030465,ChiCTR,2,ictrp
tri00310,ictrp,ChiCTR2000030464,ChiCTR,2,ictrp
tri00311,ictrp,ChiCTR2000030453,ChiCTR,2,ictrp
tri00312,ictrp,ChiCTR2000030436,ChiCTR,2,ictrp
tri00313,ictrp,ChiCTR2000030312,ChiCTR,2,ictrp
tri00314,ictrp,ChiCTR2000030304,ChiCTR,2,ictrp
tri00315,ictrp,ChiCTR2000030163,ChiCTR,2,ictrp
tri00316,ictrp,ChiCTR2000030014,ChiCTR,2,ictrp
tri00317,ictrp,ChiCTR2000029993,ChiCTR,2,ictrp
tri00318,ictrp,ChiCTR2000029958,ChiCTR,2,ictrp
tri00319,ictrp,ChiCTR2000029757,ChiCTR,2,ictrp
tri00320,ictrp,ChiCTR2000029580,ChiCTR,2,ictrp
tri00321,ictrp,ChiCTR2000029579,ChiCTR,2,ictrp
tri00322,ictrp,ChiCTR2000029550,ChiCTR,2,ictrp
tri00323,ictrp,ChiCTR2000029549,ChiCTR,2,ictrp
tri00324,ictrp,ChiCTR2000029308,ChiCTR,2,ictrp
tri00325,ictrp,NCT04292327,ClinicalTrials.gov,2,ictrp
tri00326,ictrp,NCT04292340,ClinicalTrials.gov,2,ictrp
tri00327,ictrp,NCT04293887,ClinicalTrials.gov,2,ictrp
tri00328,ictrp,NCT04295551,ClinicalTrials.gov,2,ictrp
tri00329,ictrp,NCT04296643,ClinicalTrials.gov,2,ictrp
tri00330,ictrp,NCT04298814,ClinicalTrials.gov,2,ictrp
tri00331,ictrp,NCT04299711,ClinicalTrials.gov,2,ictrp
tri00332,ictrp,ChiCTR2000030902,ChiCTR,2,ictrp
tri00333,ictrp,ChiCTR2000030901,ChiCTR,2,ictrp
tri00334,ictrp,ChiCTR2000030898,ChiCTR,2,ictrp
tri00335,ictrp,ChiCTR2000030897,ChiCTR,2,ictrp
tri00336,ictrp,ChiCTR2000030896,ChiCTR,2,ictrp
tri00337,ictrp,ChiCTR2000030895,ChiCTR,2,ictrp
tri00338,ictrp,ChiCTR2000030893,ChiCTR,2,ictrp
tri00339,ictrp,ChiCTR2000030892,ChiCTR,2,ictrp
tri00340,ictrp,ChiCTR2000030883,ChiCTR,2,ictrp
tri00341,ictrp,ChiCTR2000030866,ChiCTR,2,ictrp
tri00342,ictrp,ChiCTR2000030865,ChiCTR,2,ictrp
tri00343,ictrp,ChiCTR2000030864,ChiCTR,2,ictrp
tri00344,ictrp,ChiCTR2000030863,ChiCTR,2,ictrp
tri00345,ictrp,ChiCTR2000030862,ChiCTR,2,ictrp
tri00346,ictrp,ChiCTR2000030861,ChiCTR,2,ictrp
tri00347,ictrp,ChiCTR2000030860,ChiCTR,2,ictrp
tri00348,ictrp,ChiCTR2000030859,ChiCTR,2,ictrp
tri00349,ictrp,ChiCTR2000030858,ChiCTR,2,ictrp
tri00350,ictrp,ChiCTR2000030857,ChiCTR,2,ictrp
tri00351,ictrp,ChiCTR2000030856,ChiCTR,2,ictrp
tri00352,ictrp,ChiCTR2000030855,ChiCTR,2,ictrp
tri00353,ictrp,ChiCTR2000030854,ChiCTR,2,ictrp
tri00354,ictrp,ChiCTR2000030853,ChiCTR,2,ictrp
tri00355,ictrp,ChiCTR2000030852,ChiCTR,2,ictrp
tri00356,ictrp,ChiCTR2000030850,ChiCTR,2,ictrp
tri00357,ictrp,ChiCTR2000030849,ChiCTR,2,ictrp
tri00358,ictrp,ChiCTR2000030841,ChiCTR,2,ictrp
tri00359,ictrp,ChiCTR2000030839,ChiCTR,2,ictrp
tri00360,ictrp,ChiCTR2000030838,ChiCTR,2,ictrp
tri00361,ictrp,ChiCTR2000030836,ChiCTR,2,ictrp
tri00362,ictrp,ChiCTR2000030835,ChiCTR,2,ictrp
tri00363,ictrp,ChiCTR2000030834,ChiCTR,2,ictrp
tri00364,ictrp,ChiCTR2000030833,ChiCTR,2,ictrp
tri00365,ictrp,ChiCTR2000030832,ChiCTR,2,ictrp
tri00366,ictrp,ChiCTR2000030831,ChiCTR,2,ictrp
tri00367,ictrp,ChiCTR2000030830,ChiCTR,2,ictrp
tri00368,ictrp,ChiCTR2000030819,ChiCTR,2,ictrp
tri00369,ictrp,ChiCTR2000030818,ChiCTR,2,ictrp
tri00370,ictrp,ChiCTR2000030816,ChiCTR,2,ictrp
tri00371,ictrp,ChiCTR2000030814,ChiCTR,2,ictrp
tri00372,ictrp,ChiCTR2000030812,ChiCTR,2,ictrp
tri00373,ictrp,ChiCTR2000030810,ChiCTR,2,ictrp
tri00374,ictrp,ChiCTR2000030809,ChiCTR,2,ictrp
tri00375,ictrp,ChiCTR2000030807,ChiCTR,2,ictrp
tri00376,ictrp,ChiCTR2000030806,ChiCTR,2,ictrp
tri00377,ictrp,ChiCTR2000030805,ChiCTR,2,ictrp
tri00378,ictrp,ChiCTR2000030804,ChiCTR,2,ictrp
tri00379,ictrp,ChiCTR2000030803,ChiCTR,2,ictrp
tri00380,ictrp,ChiCTR2000030802,ChiCTR,2,ictrp
tri00381,ictrp,ChiCTR2000030801,ChiCTR,2,ictrp
tri00382,ictrp,ChiCTR2000030800,ChiCTR,2,ictrp
tri00383,ictrp,ChiCTR2000030799,ChiCTR,2,ictrp
tri00384,ictrp,ChiCTR2000030798,ChiCTR,2,ictrp
tri00385,ictrp,ChiCTR2000030797,ChiCTR,2,ictrp
tri00386,ictrp,ChiCTR2000030796,ChiCTR,2,ictrp
tri00387,ictrp,ChiCTR2000030795,ChiCTR,2,ictrp
tri00388,ictrp,ChiCTR2000030784,ChiCTR,2,ictrp
tri00389,ictrp,ChiCTR2000030782,ChiCTR,2,ictrp
tri00390,ictrp,ChiCTR2000030779,ChiCTR,2,ictrp
tri00391,ictrp,ChiCTR2000030778,ChiCTR,2,ictrp
tri00392,ictrp,ChiCTR2000030773,ChiCTR,2,ictrp
tri00393,ictrp,ChiCTR2000030768,ChiCTR,2,ictrp
tri00394,ictrp,ChiCTR2000030764,ChiCTR,2,ictrp
tri00395,ictrp,ChiCTR2000030763,ChiCTR,2,ictrp
tri00396,ictrp,ChiCTR2000030762,ChiCTR,2,ictrp
tri00397,ictrp,ChiCTR2000030761,ChiCTR,2,ictrp
