trn,registry,date_registration,date_enrollement,retrospective_registration,recruitment_status,phase,study_type,countries,public_title,target_enrollment,web_address,euctr_country
ChiCTR2000029776,ChiCTR,2020-02-13,2020-02-11,TRUE,Recruiting,Phase 4,Interventional,China,"A randomized, open-label, blank-controlled, multicenter trial for Polyinosinic-Polycytidylic Acid Injection in the treatment of novel coronavirus pneumonia (COVID-19)",40,http://www.chictr.org.cn/showproj.aspx?proj=49342,NA
ChiCTR2000029769,ChiCTR,2020-02-13,2020-02-15,FALSE,Not Recruiting,Not Applicable,Interventional,China,Babaodan Capsule used for the adjuvant treatment of severe novel coronavirus pneumonia (COVID-19),40,http://www.chictr.org.cn/showproj.aspx?proj=49415,NA
ChiCTR2000029768,ChiCTR,2020-02-13,2020-02-12,TRUE,Recruiting,Not Applicable,Interventional,China,"A randomized, open, controlled trial for diammonium glycyrrhizinate enteric-coated capsules combined with vitamin C tablets in the treatment of common novel coronavirus pneumonia (COVID-19) in the basic of clinical standard antiviral treatment to evaluate the safety and efficiency",60,http://www.chictr.org.cn/showproj.aspx?proj=49131,NA
ChiCTR2000029765,ChiCTR,2020-02-13,2020-02-10,TRUE,Recruiting,Phase 4,Interventional,China,"A multicenter, randomized controlled trial for the efficacy and safety of tocilizumab in the treatment of new coronavirus pneumonia (COVID-19)",188,http://www.chictr.org.cn/showproj.aspx?proj=49409,NA
ChiCTR2000029764,ChiCTR,2020-02-13,2020-02-16,FALSE,Not Recruiting,Not Applicable,Observational,China,Imaging Features and Mechanisms of Novel Coronavirus Pneumonia (COVID-19): a Multicenter Study,100,http://www.chictr.org.cn/showproj.aspx?proj=49388,NA
ChiCTR2000029763,ChiCTR,2020-02-12,2020-02-13,FALSE,Recruiting,Not Applicable,Interventional,China,"The efficacy of traditional chinese medicine on Novel Coronavirus Pneumonia (COVID-19) patients treated in square cabin hospital: a prospective, randomized controlled trial",408,http://www.chictr.org.cn/showproj.aspx?proj=49408,NA
ChiCTR2000029758,ChiCTR,2020-02-12,2020-02-03,TRUE,Recruiting,Not Applicable,Observational,China,Cohort Study of Novel Coronavirus Pneumonia (COVID-19) Critical Ill Patients,100,http://www.chictr.org.cn/showproj.aspx?proj=49295,NA
ChiCTR2000029756,ChiCTR,2020-02-12,2020-02-15,FALSE,Recruiting,Not Applicable,Interventional,China,Clinical study of nebulized Xiyanping injection in the treatment of novel coronavirus pneumonia (COVID-19),238,http://www.chictr.org.cn/showproj.aspx?proj=49222,NA
ChiCTR2000029754,ChiCTR,2020-02-12,2020-02-10,TRUE,Recruiting,Not Applicable,Observational,China,Study for the Effect of Novel Coronavirus Pneumonia (COVID-19) on the Health of Different People,1500,http://www.chictr.org.cn/showproj.aspx?proj=49370,NA
ChiCTR2000029751,ChiCTR,2020-02-12,2020-02-01,TRUE,Recruiting,Not Applicable,Observational,China,Clinical Study for Traditional Chinese Medicine in the Prevention and Treatment of Novel Coronavirus Pneumonia (COVID-19),350,http://www.chictr.org.cn/showproj.aspx?proj=49354,NA
ChiCTR2000029747,ChiCTR,2020-02-11,2020-02-11,FALSE,Recruiting,Not Applicable,Interventional,China,Effect evaluation and prognosis of Chinese medicine based on Novel Coronavirus Pneumonia (COVID-19),200,http://www.chictr.org.cn/showproj.aspx?proj=49287,NA
ChiCTR2000029742,ChiCTR,2020-02-11,2020-02-10,TRUE,Recruiting,Phase 4,Interventional,China,"A randomized, parallel controlled trial for the efficacy and safety of Sodium Aescinate Injection in the treatment of patients with pneumonia (COVID-19)",90,http://www.chictr.org.cn/showproj.aspx?proj=49297,NA
ChiCTR2000029741,ChiCTR,2020-02-11,2020-02-12,FALSE,Recruiting,Phase 4,Interventional,China,"Efficacy of Chloroquine and Lopinavir/ Ritonavir in mild/general novel coronavirus (CoVID-19) infections: a prospective, open-label, multicenter randomized controlled clinical study",112,http://www.chictr.org.cn/showproj.aspx?proj=49263,NA
ChiCTR2000029739,ChiCTR,2020-02-11,2020-02-12,FALSE,Recruiting,Not Applicable,Interventional,China,"A Multicenter, Randomized, Parallel Controlled Clinical Study of Hydrogen-Oxygen Nebulizer to Improve the Symptoms of Patients With Novel Coronavirus Pneumonia (COVID-19)",440,http://www.chictr.org.cn/showproj.aspx?proj=49283,NA
ChiCTR2000029735,ChiCTR,2020-02-10,2020-01-26,TRUE,Recruiting,Not Applicable,Observational,China,Risks of Death and Severe cases in Patients with 2019 Novel Coronavirus Pneumonia (COVID-19),500,http://www.chictr.org.cn/showproj.aspx?proj=49279,NA
ChiCTR2000029734,ChiCTR,2020-02-10,2020-02-08,TRUE,Recruiting,Not Applicable,Observational,China,Epidemiological investigation and clinical characteristics analysis of novel coronavirus pneumonia (COVID-19),40,http://www.chictr.org.cn/showproj.aspx?proj=48868,NA
ChiCTR2000029732,ChiCTR,2020-02-10,2020-02-10,FALSE,Not Recruiting,Not Applicable,Observational,China,Impact of vitamin D deficiency on prognosis of patients with novel coronavirus pneumonia (COVID-19),156,http://www.chictr.org.cn/showproj.aspx?proj=49302,NA
ChiCTR2000029695,ChiCTR,2020-02-10,2020-03-01,FALSE,Not Recruiting,Not Applicable,Diagnostic test,China,Early Detection of Novel Coronavirus Pneumonia (COVID-19) Based on a Novel High-Throughput Mass Spectrometry Analysis With Exhaled Breath,300,http://www.chictr.org.cn/showproj.aspx?proj=49219,NA
ChiCTR2000029656,ChiCTR,2020-02-09,2020-02-14,FALSE,Not Recruiting,Not Applicable,Interventional,China,"A randomized, open-label study to evaluate the efficacy and safety of low-dose corticosteroids in hospitalized patients with novel coronavirus pneumonia (COVID-19)",100,http://www.chictr.org.cn/showproj.aspx?proj=49086,NA
ChiCTR2000029639,ChiCTR,2020-02-08,2020-02-10,FALSE,Recruiting,Not Applicable,Interventional,China,"Study for Mental health and psychological status of doctors, nurses and patients in novel coronavirus pneumonia (COVID-19) designated hospital and effect of interventions",192,http://www.chictr.org.cn/showproj.aspx?proj=49187,NA
ChiCTR2000029637,ChiCTR,2020-02-08,2020-02-07,TRUE,Not Recruiting,Not Applicable,Observational,China,An observational study for Xin-Guan-1 formula  in the treatment of novel coronavirus pneumonia (COVID-19),100,http://www.chictr.org.cn/showproj.aspx?proj=49127,NA
ChiCTR2000029636,ChiCTR,2020-02-08,2020-02-09,FALSE,Recruiting,Not Applicable,Interventional,China,Efficacy and safety of aerosol inhalation of vMIP in the treatment of novel coronavirus pneumonia (COVID-19): a single arm clinical trial,40,http://www.chictr.org.cn/showproj.aspx?proj=49215,NA
ChiCTR2000029628,ChiCTR,2020-02-07,2020-02-07,FALSE,Not Recruiting,Not Applicable,Observational,China,A clinical observational study for Xin-Guan-2 formula in the treatment of suspected novel coronavirus pneumonia (COVID-19),100,http://www.chictr.org.cn/showproj.aspx?proj=49155,NA
ChiCTR2000029626,ChiCTR,2020-02-07,2020-02-17,FALSE,Not Recruiting,Not Applicable,Basic Science,China,Immune Repertoire (TCR & BCR) Evaluation and Immunotherapy Research in Peripheral Blood of Novel Coronavirus Pneumonia (COVID-19),20,http://www.chictr.org.cn/showproj.aspx?proj=49170,NA
ChiCTR2000029625,ChiCTR,2020-02-07,2020-02-17,FALSE,Not Recruiting,Not Applicable,Diagnostic test,China,Construction of Early Warning and Prediction System for Patients with Severe / Critical Novel Coronavirus Pneumonia (COVID-19),80,http://www.chictr.org.cn/showproj.aspx?proj=49177,NA
ChiCTR2000029624,ChiCTR,2020-02-07,2020-02-08,FALSE,Not Recruiting,Not Applicable,Observational,China,A real world study for traditional Chinese Medicine in the treatment of novel coronavirus pneumonia (COVID-19),500,http://www.chictr.org.cn/showproj.aspx?proj=49132,NA
ChiCTR2000029621,ChiCTR,2020-02-07,2020-02-07,FALSE,Recruiting,Phase 4,Interventional,China,Clinical study of arbidol hydrochloride tablets in the treatment of novel coronavirus pneumonia (COVID-19),380,http://www.chictr.org.cn/showproj.aspx?proj=49165,NA
ChiCTR2000029609,ChiCTR,2020-02-06,2020-02-10,FALSE,Not Recruiting,Phase 4,Interventional,China,"A prospective, open-label, multiple-center study for the efficacy of chloroquine phosphate in patients with novel coronavirus pneumonia (COVID-19)",205,http://www.chictr.org.cn/showproj.aspx?proj=49145,NA
ChiCTR2000029606,ChiCTR,2020-02-07,2020-01-25,TRUE,Recruiting,Not Applicable,Interventional,China,Clinical Study for Human Menstrual Blood-Derived Stem Cells in the Treatment of Acute Novel Coronavirus Pneumonia (COVID-19),63,http://www.chictr.org.cn/showproj.aspx?proj=49146,NA
ChiCTR2000029603,ChiCTR,2020-02-06,2020-02-06,FALSE,Recruiting,Not Applicable,Interventional,China,"A Randomized, Open-Label, Multi-Centre Clinical Trial Evaluating and Comparing the Safety and Efficiency of ASC09/Ritonavir and Lopinavir/Ritonavir for Confirmed Cases of Novel Coronavirus Pneumonia (COVID-19)",160,http://www.chictr.org.cn/showproj.aspx?proj=49075,NA
ChiCTR2000029602,ChiCTR,2020-02-06,2020-02-01,TRUE,Recruiting,Not Applicable,Interventional,China,Clinical study for community based prevention and control strategy of novel coronavirus pneumonia (COVID-19) in the isolate suspected and confirmed population,600,http://www.chictr.org.cn/showproj.aspx?proj=48985,NA
ChiCTR2000029601,ChiCTR,2020-02-06,2020-02-01,TRUE,Recruiting,Not Applicable,Interventional,China,Community based prevention and control for Chinese medicine in the treatment of novel coronavirus pneumonia (COVID-19) in the isolate suspected and confirmed population,400,http://www.chictr.org.cn/showproj.aspx?proj=48988,NA
ChiCTR2000029600,ChiCTR,2020-02-06,2020-01-30,TRUE,Recruiting,Not Applicable,Interventional,China,Clinical study for safety and efficacy of Favipiravir in the treatment of novel coronavirus pneumonia (COVID-19),90,http://www.chictr.org.cn/showproj.aspx?proj=49042,NA
ChiCTR2000029578,ChiCTR,2020-02-05,2020-02-06,FALSE,Recruiting,Not Applicable,Interventional,China,"Chinese medicine prevention and treatment program for novel coronavirus pneumonia (COVID-19): a perspective, sing-arm trial",1000,http://www.chictr.org.cn/showproj.aspx?proj=49080,NA
ChiCTR2000029559,ChiCTR,2020-02-04,2020-01-31,TRUE,Recruiting,Phase 4,Interventional,China,Therapeutic effect of hydroxychloroquine on novel coronavirus pneumonia (COVID-19),300,http://www.chictr.org.cn/showproj.aspx?proj=48880,NA
ChiCTR2000029558,ChiCTR,2020-02-04,2020-01-29,TRUE,Recruiting,Not Applicable,Interventional,China,Recommendations of Integrated Traditional Chinese and Western Medicine for Diagnosis and Treatment of Novel Coronavirus Pneumonia (COVID-19) in Sichuan Province,200,http://www.chictr.org.cn/showproj.aspx?proj=48792,NA
ChiCTR2000029548,ChiCTR,2020-02-04,2020-02-04,FALSE,Not Recruiting,Not Applicable,Interventional,China,"Randomized, open-label, controlled trial for evaluating of the efficacy and safety of Baloxavir Marboxil, Favipiravir, and Lopinavir-Ritonavir in the treatment of novel coronavirus pneumonia (COVID-19) patients",30,http://www.chictr.org.cn/showproj.aspx?proj=49015,NA
ChiCTR2000029544,ChiCTR,2020-02-03,2020-02-04,FALSE,Not Recruiting,Not Applicable,Interventional,China,"A randomized controlled trial for the efficacy and safety of Baloxavir Marboxil, Favipiravir tablets in novel coronavirus pneumonia (COVID-19) patients who are still positive on virus detection under the current antiviral therapy",30,http://www.chictr.org.cn/showproj.aspx?proj=49013,NA
ChiCTR2000029542,ChiCTR,2020-02-03,2020-02-03,FALSE,Recruiting,Phase 4,Interventional,China,Study for the efficacy of chloroquine in patients with novel coronavirus pneumonia (COVID-19),20,http://www.chictr.org.cn/showproj.aspx?proj=48968,NA
ChiCTR2000029541,ChiCTR,2020-02-03,2020-02-10,FALSE,Not Recruiting,Not Applicable,Interventional,China,"A randomised, open, controlled trial for darunavir/cobicistat or Lopinavir/ritonavir combined with thymosin a1 in the treatment of novel coronavirus pneumonia (COVID-19)",100,http://www.chictr.org.cn/showproj.aspx?proj=48992,NA
ChiCTR2000029539,ChiCTR,2020-02-03,2020-02-04,FALSE,Recruiting,Not Applicable,Interventional,China,"A randomized, open-label study to evaluate the efficacy and safety of Lopinavir-Ritonavir in patients with mild novel coronavirus pneumonia (COVID-19)",328,http://www.chictr.org.cn/showproj.aspx?proj=48991,NA
ChiCTR2000029518,ChiCTR,2020-02-03,2020-02-04,FALSE,Recruiting,Not Applicable,Interventional,China,"Chinese medicine prevention and treatment program for novel coronavirus pneumonia (COVID-19): a perspective, double-blind, placebo, randomised controlled trial",140,http://www.chictr.org.cn/showproj.aspx?proj=48860,NA
ChiCTR2000029517,ChiCTR,2020-02-03,2020-02-04,FALSE,Recruiting,Not Applicable,Interventional,China,"Chinese medicine prevention and treatment program for suspected novel coronavirus pneumonia (COVID-19): a perspective, double-blind, placebo, randomised controlled trial",100,http://www.chictr.org.cn/showproj.aspx?proj=48861,NA
ChiCTR2000029495,ChiCTR,2020-02-02,2020-02-03,FALSE,Not Recruiting,Not Applicable,Interventional,China,"Traditional Chinese Medicine, Psychological Intervention and Investigation of Mental Health for Patients With Novel Coronavirus Pneumonia (COVID-19) in Convalescent Period",90,http://www.chictr.org.cn/showproj.aspx?proj=48971,NA
ChiCTR2000029493,ChiCTR,2020-02-02,2020-02-03,FALSE,Not Recruiting,Not Applicable,Interventional,China,"Traditional Chinese Medicine for Pulmonary Fibrosis, Pulmonary Function and Quality of Life in Patients With Novel Coronavirus Pneumonia (COVID-19) in Convalescent Period: a Randomized Controlled Trial",100,http://www.chictr.org.cn/showproj.aspx?proj=48931,NA
ChiCTR2000029487,ChiCTR,2020-02-02,2020-02-10,FALSE,Not Recruiting,Not Applicable,Prevention,China,Clinical Study for Gu-Biao Jie-Du-Ling in Preventing of Novel Coronavirus Pneumonia (COVID-19) in Children,200,http://www.chictr.org.cn/showproj.aspx?proj=48965,NA
ChiCTR2000029468,ChiCTR,2020-02-02,2020-02-01,TRUE,Not Recruiting,Not Applicable,Interventional,China,A real-world  study for lopinavir/ritonavir (LPV/r) and emtritabine (FTC) / Tenofovir alafenamide Fumarate tablets (TAF) regimen in the treatment of novel coronavirus pneumonia (COVID-19),120,http://www.chictr.org.cn/showproj.aspx?proj=48919,NA
ChiCTR2000029462,ChiCTR,2020-02-02,2020-02-01,TRUE,Not Recruiting,Not Applicable,Observational,China,Study for clinical characteristics and distribution of TCM syndrome of novel coronavirus pneumonia (COVID-19),200,http://www.chictr.org.cn/showproj.aspx?proj=48922,NA
ChiCTR2000029461,ChiCTR,2020-02-02,2020-02-03,FALSE,Not Recruiting,Not Applicable,Interventional,China,A Randomized Controlled Trial for Integrated Traditional Chinese Medicine and Western Medicine in the Treatment of Common Type Novel Coronavirus Pneumonia (COVID-19),100,http://www.chictr.org.cn/showproj.aspx?proj=48927,NA
ChiCTR2000029460,ChiCTR,2020-02-02,2020-02-02,FALSE,Not Recruiting,Not Applicable,Interventional,China,The effect of shadowboxing for pulmonary function and quality of life in patients with novel coronavirus pneumonia (COVID-19) in rehabilitation period,100,http://www.chictr.org.cn/showproj.aspx?proj=48930,NA
ChiCTR2000029459,ChiCTR,2020-02-02,2020-02-03,FALSE,Not Recruiting,Not Applicable,Interventional,China,The effect of pulmonary rehabilitation for pulmonary function and quality of life in patients with novel coronavirus pneumonia (COVID-19) in rehabilitation period,100,http://www.chictr.org.cn/showproj.aspx?proj=48929,NA
ChiCTR2000029439,ChiCTR,2020-02-01,2020-02-02,FALSE,Not Recruiting,Not Applicable,Interventional,China,Combination of traditional Chinese medicine and western medicine in the treatment of common type novel coronavirus pneumonia (COVID-19),120,http://www.chictr.org.cn/showproj.aspx?proj=48904,NA
ChiCTR2000029438,ChiCTR,2020-02-01,2020-02-04,FALSE,Not Recruiting,Phase 4,Interventional,China,A randomized controlled trial of integrated TCM and Western Medicine in the treatment of severe novel coronavirus pneumonia (COVID-19),100,http://www.chictr.org.cn/showproj.aspx?proj=48911,NA
ChiCTR2000029437,ChiCTR,2020-02-01,2020-02-03,FALSE,Not Recruiting,Not Applicable,Observational,China,A single arm study for combination of traditional Chinese and Western Medicine in the treatment of novel coronavirus pneumonia (COVID-19),300,http://www.chictr.org.cn/showproj.aspx?proj=48913,NA
ChiCTR2000029436,ChiCTR,2020-02-01,2020-02-01,FALSE,Not Recruiting,Not Applicable,Interventional,China,A single arm study for evaluation of integrated traditional Chinese and western medicine in the treatment of novel coronavirus pneumonia (COVID-19),100,http://www.chictr.org.cn/showproj.aspx?proj=48884,NA
ChiCTR2000029435,ChiCTR,2020-02-01,2020-02-01,FALSE,Not Recruiting,Not Applicable,Interventional,China,Randomized controlled trial for traditional Chinese medicine in the prevention of novel coronavirus pneumonia (COVID-19) in high risk population,120,http://www.chictr.org.cn/showproj.aspx?proj=48827,NA
ChiCTR2000029432,ChiCTR,2020-02-01,2020-02-01,FALSE,Not Recruiting,Phase 4,Interventional,China,A Real World Study for the Efficacy and Safety of Large Dose Tanreqing Injection in the Treatment of Patients with Novel Coronavirus Pneumonia (COVID-19),72,http://www.chictr.org.cn/showproj.aspx?proj=48881,NA
ChiCTR2000029431,ChiCTR,2020-02-01,2020-01-29,TRUE,Recruiting,Not Applicable,Interventional,China,Clinical study for the remedy of M1 macrophages target in the treatment of novel coronavirus pneumonia (COVID-19),45,http://www.chictr.org.cn/showproj.aspx?proj=48907,NA
