id,trn,type,control_type,placebo_plus_soc,category,intervention,intervention_plus_soc
tri04396,IRCT20150825023753N17,experimental,NA,NA,traditional_medicine,Traditional Medicine,undefined_soc
tri04396,IRCT20150825023753N17,control,placebo,undefined_soc,NA,NA,NA
tri00953,NCT04344756,experimental,NA,NA,drug,Heparin (LMWH or Unfractionated);Heparin (LMWH or Unfractionated),no
tri00953,NCT04344756,control,defined_soc,NA,NA,NA,NA
tri02335,NCT04354428,control,placebo,no,NA,NA,NA
tri02335,NCT04354428,experimental,NA,NA,drug,Lopinavir;Ritonavir,no
tri02335,NCT04354428,experimental,NA,NA,drug,Hydroxychloroquine,no
tri02335,NCT04354428,experimental,NA,NA,drug,Azithromycin;Hydroxychloroquine,no
tri01154,NCT04357782,experimental,NA,NA,drug,Vitamin C,no
tri01197,NCT04361435,experimental,NA,NA,procedure,Physiotherapy;non-invasive oscillating device (NIOD),no
tri01197,NCT04361435,experimental,NA,NA,procedure,Physiotherapy;non-invasive oscillating device (NIOD),no
tri01330,NCT04366856,experimental,NA,NA,procedure,Prone Positioning,no
tri01330,NCT04366856,control,no_treatment,NA,NA,NA,NA
tri01564,NCT04377997,experimental,NA,NA,drug,Heparin (LMWH or Unfractionated),no
tri01564,NCT04377997,control,defined_soc,NA,NA,NA,NA
tri01846,NCT04381871,experimental,NA,NA,traditional_medicine,Traditional Medicine,no
tri01846,NCT04381871,control,placebo,no,NA,NA,NA
tri01848,NCT04382131,experimental,NA,NA,other,Nasopharyngeal saline wash,no
tri01848,NCT04382131,control,undefined_soc,NA,NA,NA,NA
tri03071,NCT04382768,experimental,NA,NA,drug,Ibuprofen,undefined_soc
tri02056,NCT04390061,experimental,NA,NA,drug,Tofacitinib,defined_soc
tri02056,NCT04390061,control,defined_soc,NA,NA,NA,NA
tri02060,NCT04390412,experimental,NA,NA,procedure,Low Dose Radiotherapy,undefined_soc
tri02268,NCT04393415,experimental,NA,NA,biologics,Stem Cells (Mesenchymal),no
tri02268,NCT04393415,experimental,NA,NA,biologics,Platelet Rich Plasma,no
tri02268,NCT04393415,control,no_treatment,NA,NA,NA,NA
tri02532,NCT04410510,control,placebo,defined_soc,NA,NA,NA
tri02997,NCT04420260,control,placebo,no,NA,NA,NA
tri02997,NCT04420260,experimental,NA,NA,multiple,food emulsion (unspecified);oropharygeal spray (unspecified),no
tri03008,NCT04421391,experimental,NA,NA,nutritional_supplement,QuadraMune,no
tri03488,NCT04432987,experimental,NA,NA,biologics,Dornase Alfa,no
tri03488,NCT04432987,control,other_unknown,NA,NA,NA,NA
tri03525,NCT04436471,experimental,NA,NA,vaccine_covid,Gam-COVID-Vac (Sputnik V),no
tri03525,NCT04436471,experimental,NA,NA,vaccine_covid,Gam-COVID-Vac (Sputnik V),no
tri03525,NCT04436471,experimental,NA,NA,vaccine_covid,Gam-COVID-Vac (Sputnik V),no
tri03558,NCT04441424,experimental,NA,NA,biologics,Convalescent Plasma,defined_soc
tri03558,NCT04441424,control,defined_soc,NA,NA,NA,NA
tri05473,NCT04452773,control,placebo,no,NA,NA,NA
tri05473,NCT04452773,experimental,NA,NA,nutritional_supplement,Manremyc,no
tri05983,NCT04508439,experimental,NA,NA,drug,Heparin (LMWH or Unfractionated),no
tri05983,NCT04508439,control,defined_soc,NA,NA,NA,NA
tri06088,NCT04521400,experimental,NA,NA,drug,Interferon Beta (Any),defined_soc
tri06088,NCT04521400,experimental,NA,NA,drug,Interferon Beta (Any),defined_soc
tri06130,NCT04527133,experimental,NA,NA,drug,Aprotinin;Favipiravir,undefined_soc
tri06130,NCT04527133,experimental,NA,NA,drug,Aprotinin,undefined_soc
tri06378,NCT04559035,experimental,NA,NA,drug,Sodium Bicarbonate,no
tri06378,NCT04559035,experimental,NA,NA,drug,Povidone-iodine,no
tri06851,NCT04632602,experimental,NA,NA,procedure,Prone Positioning,no
tri06851,NCT04632602,control,other_unknown,NA,NA,NA,NA
tri01300,NCT04359797,experimental,NA,NA,procedure,Prone Positioning,no
tri01300,NCT04359797,control,no_treatment,NA,NA,NA,NA
tri07210,NCT04666116,experimental,NA,NA,nutritional_supplement,Probiotic (Unspecified),undefined_soc
tri07210,NCT04666116,control,undefined_soc,NA,NA,NA,NA
tri03299,NCT04341688,control,placebo,no,NA,NA,NA
tri03299,NCT04341688,experimental,NA,NA,drug,Povidone-iodine,no
tri03299,NCT04341688,experimental,NA,NA,drug,Hydrogen peroxide,no
tri03299,NCT04341688,experimental,NA,NA,drug,Azadirachta indicia,no
tri03299,NCT04341688,experimental,NA,NA,drug,Hypertonic Saline,no
tri06718,NCT04610567,control,placebo,no,NA,NA,NA
tri06718,NCT04610567,experimental,NA,NA,drug,Methotrexate,no
tri01766,CTRI/2020/05/024981,control,placebo,no,NA,NA,NA
tri01766,CTRI/2020/05/024981,experimental,NA,NA,traditional_medicine,Traditional Medicine,no
tri04511,CTRI/2020/05/025215,experimental,NA,NA,traditional_medicine,Traditional Medicine,no
tri04511,CTRI/2020/05/025215,control,defined_soc,NA,NA,NA,NA
tri04958,CTRI/2020/08/027477,experimental,NA,NA,traditional_medicine,Traditional Medicine,no
tri02632,NCT04414124,control,undefined_soc,NA,NA,NA,NA
tri02393,NCT04406389,control,defined_soc,NA,NA,NA,NA
tri02632,NCT04414124,experimental,NA,NA,drug,KB109,undefined_soc
tri02393,NCT04406389,experimental,NA,NA,drug,Anticoagulants (Unspecified),no
tri00952,NCT04344730,experimental,NA,NA,drug,Dexamethasone,no
tri00952,NCT04344730,control,placebo,no,NA,NA,NA
tri06160,NCT04530409,experimental,NA,NA,drug,Dexamethasone;Methylprednisolone,no
tri06160,NCT04530409,control,no_treatment,NA,NA,NA,NA
tri03434,NCT04409262,experimental,NA,NA,biologics,Tocilizumab,defined_soc
tri03434,NCT04409262,control,placebo,defined_soc,NA,NA,NA
tri05645,NCT04470258,experimental,NA,NA,device,Elmo System,no
tri05893,NCT04495933,experimental,NA,NA,vaccine_covid,MF59 adjuvanted SARS-CoV-2 Sclamp vaccine,no
tri05893,NCT04495933,experimental,NA,NA,vaccine_covid,MF59 adjuvanted SARS-CoV-2 Sclamp vaccine,no
tri05893,NCT04495933,experimental,NA,NA,vaccine_covid,MF59 adjuvanted SARS-CoV-2 Sclamp vaccine,no
tri06236,NCT04537962,experimental,NA,NA,other,Toothpaste,no
tri06236,NCT04537962,control,placebo,no,NA,NA,NA
tri06236,NCT04537962,experimental,NA,NA,drug,Cetylpyridinium chloride (CPC),no
tri06236,NCT04537962,experimental,NA,NA,drug,Hydrogen peroxide,NA
tri06236,NCT04537962,experimental,NA,NA,drug,Chlorhexidine (CHX),no
tri06236,NCT04537962,experimental,NA,NA,drug,Chlorhexidine (CHX);Hydrogen peroxide,no
tri07225,ISRCTN27106947,experimental,NA,NA,drug,Molnupiravir,no
tri07225,ISRCTN27106947,control,placebo,undefined_soc,NA,NA,NA
tri02956,NCT04368728,experimental,NA,NA,vaccine_covid,BNT162b2 (Comirnaty),no
tri07225,ISRCTN27106947,experimental,NA,NA,biologics,Sotrovimab,no
tri03542,NCT04438850,experimental,NA,NA,drug,Ivermectin,no
tri02290,NCT04400890,experimental,NA,NA,drug,Resveratrol,defined_soc
tri02290,NCT04400890,control,placebo,defined_soc,NA,NA,NA
tri04057,ISRCTN34160010,experimental,NA,NA,drug,Inosine-glutathione;Potassium chloride,no
tri04057,ISRCTN34160010,control,other_unknown,NA,NA,NA,NA
tri04439,RPCEC00000330,experimental,NA,NA,biologics,CIGB-258 peptide,no
tri04439,RPCEC00000330,control,undefined_soc,NA,NA,NA,NA
tri02948,NCT04351581,experimental,NA,NA,drug,ACE Inhibitors;Angiotensin Receptor Blockers (ARB),no
tri02948,NCT04351581,control,no_treatment,NA,NA,NA,NA
tri03418,NCT04401579,control,placebo,defined_soc,NA,NA,NA
tri03418,NCT04401579,experimental,NA,NA,drug,Baricitinib,defined_soc
tri00502,ChiCTR2000030946,experimental,NA,NA,drug,Heparin (LMWH or Unfractionated),no
tri00502,ChiCTR2000030946,experimental,NA,NA,procedure,Mechanical Anticoagulation,no
tri02344,NCT04368988,control,placebo,no,NA,NA,NA
tri02344,NCT04368988,experimental,NA,NA,vaccine_covid,NVX-CoV2373 (Nuvaxovid),no
tri02344,NCT04368988,experimental,NA,NA,vaccine_covid,NVX-CoV2373 (Nuvaxovid),no
tri02344,NCT04368988,experimental,NA,NA,vaccine_covid,NVX-CoV2373 (Nuvaxovid),no
tri02344,NCT04368988,experimental,NA,NA,vaccine_covid,NVX-CoV2373 (Nuvaxovid),no
tri02344,NCT04368988,experimental,NA,NA,vaccine_covid,NVX-CoV2373 (Nuvaxovid),no
tri02344,NCT04368988,experimental,NA,NA,vaccine_covid,NVX-CoV2373,no
tri06087,NCT04521322,experimental,NA,NA,drug,Iota-Carrageenan,no
tri06087,NCT04521322,control,placebo,no,NA,NA,NA
tri06519,NCT04581291,experimental,NA,NA,procedure,Aerobic Exercises,defined_soc
tri06519,NCT04581291,control,defined_soc,NA,NA,NA,NA
tri01492,NCT04341441,experimental,NA,NA,drug,Hydroxychloroquine,no
tri01492,NCT04341441,experimental,NA,NA,drug,Hydroxychloroquine,no
tri01492,NCT04341441,control,placebo,no,NA,NA,NA
tri01492,NCT04341441,control,other_unknown,NA,NA,NA,NA
tri05845,NCT04490824,experimental,NA,NA,other,KELEA Excellerated Water,no
tri05845,NCT04490824,control,placebo,no,NA,NA,NA
tri00269,NCT04286503,experimental,NA,NA,drug,Carrimycin,undefined_soc
tri00269,NCT04286503,control,defined_soc,NA,NA,NA,NA
tri03289,NCT04328285,experimental,NA,NA,drug,Hydroxychloroquine,no
tri03289,NCT04328285,experimental,NA,NA,drug,Lopinavir;Ritonavir,no
tri03289,NCT04328285,control,placebo,no,NA,NA,NA
tri07193,NCT04664010,control,defined_soc,NA,NA,NA,NA
tri07193,NCT04664010,experimental,NA,NA,multiple,Traditional Medicine;Vitamin C,defined_soc
tri07193,NCT04664010,experimental,NA,NA,traditional_medicine,Traditional Medicine,defined_soc
tri07965,NCT04768179,control,undefined_soc,NA,NA,NA,NA
tri07965,NCT04768179,experimental,NA,NA,drug,Aspirin;Ivermectin,undefined_soc
tri07965,NCT04768179,experimental,NA,NA,drug,Aspirin;Ivermectin,undefined_soc
tri05726,NCT04476979,experimental,NA,NA,biologics,Tocilizumab,defined_soc
tri05726,NCT04476979,control,defined_soc,NA,NA,NA,NA
tri08607,ISRCTN18304314,experimental,NA,NA,biologics,Convalescent Plasma,undefined_soc
tri08607,ISRCTN18304314,control,defined_soc,NA,NA,NA,NA
tri03264,NCT04432272,experimental,NA,NA,biologics,Convalescent Plasma,no
tri07070,NCT04640168,experimental,NA,NA,drug,Baricitinib,defined_soc
tri07070,NCT04640168,experimental,NA,NA,drug,Dexamethasone,defined_soc
tri10125,NCT04701658,experimental,NA,NA,biologics,Bamlanivimab,no
tri00055,ChiCTR2000029742,experimental,NA,NA,drug,Sodium ATraditional Medicineate,undefined_soc
tri00055,ChiCTR2000029742,experimental,NA,NA,drug,Corticosteroids (Unspecified),undefined_soc
tri00055,ChiCTR2000029742,control,undefined_soc,NA,NA,NA,NA
tri00177,ChiCTR2000029974,experimental,NA,NA,nutritional_supplement,Probiotic (Unspecified),no
tri00177,ChiCTR2000029974,control,undefined_soc,NA,NA,NA,NA
tri00529,ChiCTR2000029573,experimental,NA,NA,biologics,Novaferon,defined_soc
tri00822,ChiCTR2000031944,control,placebo,no,NA,NA,NA
tri00822,ChiCTR2000031944,experimental,NA,NA,traditional_medicine,Traditional Medicine,no
tri04236,EUCTR2020-002456-21,experimental,NA,NA,vaccine_non_covid,MMR Vaccine,defined_soc
tri04236,EUCTR2020-002456-21,experimental,NA,NA,drug,Alendronic Acid,defined_soc
tri04236,EUCTR2020-002456-21,control,placebo,no,NA,NA,NA
tri00192,NCT04273581,experimental,NA,NA,drug,Thalidomide,defined_soc
tri00192,NCT04273581,control,defined_soc,NA,NA,NA,NA
tri02933,NCT04315298,control,placebo,no,NA,NA,NA
tri02933,NCT04315298,experimental,NA,NA,biologics,Sarilumab,no
tri03042,NCT04345861,experimental,NA,NA,drug,Azithromycin,defined_soc
tri03042,NCT04345861,control,defined_soc,NA,NA,NA,NA
tri01291,NCT04352465,experimental,NA,NA,drug,Methotrexate,no
tri01291,NCT04352465,experimental,NA,NA,drug,Methotrexate,no
tri01291,NCT04352465,experimental,NA,NA,drug,Methotrexate,no
tri01897,NCT04352933,control,placebo,no,NA,NA,NA
tri01897,NCT04352933,experimental,NA,NA,drug,Hydroxychloroquine,no
tri01897,NCT04352933,experimental,NA,NA,drug,Hydroxychloroquine,no
tri05383,NCT04371107,control,undefined_soc,NA,NA,NA,NA
tri05383,NCT04371107,experimental,NA,NA,drug,Azithromycin,undefined_soc
tri02643,NCT04416113,experimental,NA,NA,procedure,Photobiomodulation therapy (PBMT),no
tri02643,NCT04416113,experimental,NA,NA,procedure,Photodynamic therapy,no
tri02643,NCT04416113,control,undefined_soc,NA,NA,NA,NA
tri03502,NCT04434248,experimental,NA,NA,drug,Favipiravir,no
tri03502,NCT04434248,control,undefined_soc,NA,NA,NA,NA
tri03516,NCT04435353,experimental,NA,NA,procedure,Vibroacoustic device,no
tri05582,NCT04463420,experimental,NA,NA,traditional_medicine,Traditional Medicine,defined_soc
tri05582,NCT04463420,control,defined_soc,NA,NA,NA,NA
tri05750,NCT04479358,control,undefined_soc,NA,NA,NA,NA
tri05750,NCT04479358,experimental,NA,NA,biologics,Tocilizumab,no
tri05750,NCT04479358,experimental,NA,NA,biologics,Tocilizumab,no
tri05750,NCT04479358,experimental,NA,NA,biologics,Tocilizumab,no
tri06316,NCT04549376,experimental,NA,NA,drug,Povidone-iodine,no
tri06316,NCT04549376,experimental,NA,NA,drug,Povidone-iodine,no
tri06316,NCT04549376,control,placebo,no,NA,NA,NA
tri06631,NCT04597034,experimental,NA,NA,device,AN69-Oxiris Membrane,no
tri06631,NCT04597034,experimental,NA,NA,device,AN69-Standard Membrane,no
tri04562,CTRI/2020/05/025385,experimental,NA,NA,traditional_medicine,Traditional Medicine,no
tri04562,CTRI/2020/05/025385,control,no_treatment,NA,NA,NA,NA
tri02468,NCT04363827,experimental,NA,NA,drug,Hydroxychloroquine,no
tri02468,NCT04363827,experimental,NA,NA,drug,Hydroxychloroquine,no
tri02468,NCT04363827,control,no_treatment,NA,NA,NA,NA
tri05599,NCT04465604,experimental,NA,NA,drug,Hypertonic Saline,no
tri00808,ACTRN12620000473965,experimental,NA,NA,drug,OM85,no
tri00808,ACTRN12620000473965,control,no_treatment,NA,NA,NA,NA
tri01289,NCT04349631,experimental,NA,NA,biologics,Stem Cells (Mesenchymal),no
tri07276,NCT04323527,experimental,NA,NA,drug,Chloroquine,no
tri07276,NCT04323527,control,placebo,no,NA,NA,NA
tri02914,RPCEC00000313,experimental,NA,NA,biologics,CIGB-258 peptide,no
tri01004,NCT04350684,experimental,NA,NA,drug,Umifenovir (Arbidol),defined_soc
tri01004,NCT04350684,control,defined_soc,NA,NA,NA,NA
tri03419,NCT04402866,experimental,NA,NA,drug,TD-0903,no
tri03419,NCT04402866,control,placebo,no,NA,NA,NA
tri06018,NCT04512027,experimental,NA,NA,drug,Prolectin-M,undefined_soc
tri06018,NCT04512027,control,undefined_soc,NA,NA,NA,NA
tri07212,NCT04666233,experimental,NA,NA,device,Personal protective equipment (PPE),no
tri07212,NCT04666233,control,no_treatment,NA,NA,NA,NA
tri00842,EUCTR2020-001765-37,experimental,NA,NA,drug,Hydroxychloroquine,no
tri03350,NCT04365101,experimental,NA,NA,biologics,NK cells,no
tri03350,NCT04365101,control,undefined_soc,NA,NA,NA,NA
tri01280,NCT04329923,experimental,NA,NA,drug,Hydroxychloroquine,no
tri01280,NCT04329923,control,placebo,no,NA,NA,NA
tri02586,NCT04372589,experimental,NA,NA,drug,Heparin (LMWH or Unfractionated);Heparin (LMWH or Unfractionated),no
tri02586,NCT04372589,control,undefined_soc,NA,NA,NA,NA
tri00227,ChiCTR2000030265,experimental,NA,NA,procedure,Continuous renal replacement therapy,no
tri00227,ChiCTR2000030265,control,undefined_soc,NA,NA,NA,NA
tri02291,NCT04400929,experimental,NA,NA,drug,Sargramostim,undefined_soc
tri02291,NCT04400929,control,placebo,undefined_soc,NA,NA,NA
tri02581,NCT04359680,experimental,NA,NA,drug,Nitazoxanide,no
tri02581,NCT04359680,control,placebo,no,NA,NA,NA
tri02970,NCT04401293,experimental,NA,NA,drug,Heparin (LMWH or Unfractionated),no
tri02970,NCT04401293,control,defined_soc,NA,NA,NA,NA
tri03051,NCT04353596,experimental,NA,NA,drug,ACE Inhibitors;Angiotensin Receptor Blockers (ARB),no
tri03051,NCT04353596,control,no_treatment,NA,NA,NA,NA
tri03102,NCT04420299,experimental,NA,NA,drug,Bemiparin sodium,no
tri03102,NCT04420299,control,defined_soc,NA,NA,NA,NA
tri03306,NCT04344587,experimental,NA,NA,other,Text message,no
tri03306,NCT04344587,control,no_treatment,NA,NA,NA,NA
tri03337,NCT04360824,experimental,NA,NA,drug,Heparin (LMWH or Unfractionated),no
tri03337,NCT04360824,control,defined_soc,NA,NA,NA,NA
tri03368,NCT04373707,experimental,NA,NA,drug,Heparin (LMWH or Unfractionated),no
tri03368,NCT04373707,control,defined_soc,NA,NA,NA,NA
tri03718,NL8538,experimental,NA,NA,device,Sleep Position Trainer,no
tri03718,NL8538,control,no_treatment,NA,NA,NA,NA
tri06416,NCT04565665,experimental,NA,NA,biologics,Stem Cells (Mesenchymal),no
tri06416,NCT04565665,control,undefined_soc,NA,NA,NA,NA
tri06523,NCT04581863,control,defined_soc,NA,NA,NA,NA
tri06523,NCT04581863,experimental,NA,NA,device,Pulse oximeter,defined_soc
tri06681,NCT04604327,experimental,NA,NA,drug,Bemiparin sodium,no
tri06681,NCT04604327,control,defined_soc,NA,NA,NA,NA
tri06937,NCT04646655,experimental,NA,NA,drug,Heparin (LMWH or Unfractionated),no
tri06937,NCT04646655,control,defined_soc,NA,NA,NA,NA
tri06952,NCT04456595,experimental,NA,NA,vaccine_covid,Adsorbed COVID-19 Inactivated vaccine (Sinovac),no
tri06952,NCT04456595,control,placebo,NA,NA,NA,NA
tri08019,NCT04777981,experimental,NA,NA,drug,CBDRA60,no
tri08019,NCT04777981,control,placebo,no,NA,NA,NA
tri08314,NCT04802018,experimental,NA,NA,device,Remote Monitoring,defined_soc
tri08314,NCT04802018,control,defined_soc,NA,NA,NA,NA
tri08446,NCT04329195,experimental,NA,NA,drug,ACE Inhibitors;Angiotensin Receptor Blockers (ARB),no
tri08446,NCT04329195,control,no_treatment,NA,NA,NA,NA
tri08853,NCT04817319,experimental,NA,NA,device,Dental tools,no
tri08864,NCT04854486,experimental,NA,NA,other,Grapefruit Seed Extract;Xylitol,no
tri08864,NCT04854486,control,placebo,no,NA,NA,NA
tri10000,LBCTR2021034768,experimental,NA,NA,drug,Povidone-iodine,no
tri10000,LBCTR2021034768,experimental,NA,NA,drug,Chlorhexidine (CHX),no
tri10000,LBCTR2021034768,control,placebo,no,NA,NA,NA
tri01014,NCT04351763,experimental,NA,NA,drug,Amiodarone,no
tri01014,NCT04351763,experimental,NA,NA,drug,Verapamil,no
tri01014,NCT04351763,control,undefined_soc,NA,NA,NA,NA
tri08148,NCT04723459,experimental,NA,NA,drug,Ivermectin,defined_soc
tri08148,NCT04723459,control,defined_soc,NA,NA,NA,NA
tri01625,IRCT20200328046886N1,experimental,NA,NA,drug,Daclatasvir;Ribavirin;Sofosbuvir,no
tri01625,IRCT20200328046886N1,control,undefined_soc,NA,NA,NA,NA
tri01442,NCT04370288,experimental,NA,NA,drug,Methylene Blue;N-acetyl cysteine;Vitamin C,no
tri01442,NCT04370288,control,undefined_soc,NA,NA,NA,NA
tri03075,NCT04386850,experimental,NA,NA,drug,Vitamin D (Any),no
tri03075,NCT04386850,control,placebo,no,NA,NA,NA
tri02381,NCT04405310,experimental,NA,NA,biologics,Convalescent Plasma,defined_soc
tri02381,NCT04405310,control,placebo,defined_soc,NA,NA,NA
tri05584,NCT04463472,experimental,NA,NA,vaccine_covid,AG0301-COVID19 (AnGes),no
tri06493,NCT04577378,experimental,NA,NA,drug,Retinoic acid (Any),no
tri06493,NCT04577378,control,placebo,no,NA,NA,NA
tri06493,NCT04577378,control,no_treatment,NA,NA,NA,NA
tri03295,NCT04335136,experimental,NA,NA,biologics,Recombinant human angotensin-converting enzyme 2 (rhACE2),no
tri03295,NCT04335136,control,placebo,no,NA,NA,NA
tri05957,NCT04502433,experimental,NA,NA,drug,Poractant alfa,no
tri05957,NCT04502433,control,undefined_soc,NA,NA,NA,NA
tri03227,NCT04402944,experimental,NA,NA,drug,Dornase Alfa,undefined_soc
tri03227,NCT04402944,control,placebo,undefined_soc,NA,NA,NA
tri01842,NCT04381364,experimental,NA,NA,drug,Ciclesonide,no
tri01842,NCT04381364,control,undefined_soc,NA,NA,NA,NA
tri03748,NCT04327388,experimental,NA,NA,biologics,Sarilumab,no
tri03748,NCT04327388,control,placebo,no,NA,NA,NA
tri01286,NCT04345848,control,defined_soc,NA,NA,NA,NA
tri01286,NCT04345848,experimental,NA,NA,drug,Heparin (LMWH or Unfractionated),no
tri03542,NCT04438850,control,placebo,no,NA,NA,NA
tri02035,NCT04370782,experimental,NA,NA,drug,Azithromycin,defined_soc
tri02035,NCT04370782,experimental,NA,NA,drug,Doxycycline,defined_soc
tri00530,ChiCTR2000029496,experimental,NA,NA,drug,Novaferon,undefined_soc
tri00530,ChiCTR2000029496,experimental,NA,NA,drug,Lopinavir;Ritonavir,undefined_soc
tri00530,ChiCTR2000029496,experimental,NA,NA,drug,Lopinavir;Novaferon;Ritonavir,undefined_soc
tri10199,NCT04927169,experimental,NA,NA,biologics,Interleukin-7,no
tri10199,NCT04927169,control,placebo,no,NA,NA,NA
tri00529,ChiCTR2000029573,control,defined_soc,NA,NA,NA,NA
tri03394,NCT04388826,experimental,NA,NA,drug,Sabizabulin,no
tri03394,NCT04388826,control,placebo,no,NA,NA,NA
tri03349,NCT04364893,experimental,NA,NA,drug,ACE Inhibitors;Angiotensin Receptor Blockers (ARB),no
tri03349,NCT04364893,control,no_treatment,NA,NA,NA,NA
tri02289,NCT04400838,experimental,NA,NA,vaccine_covid,ChAdOx1 nCoV-19 (Vaxzevria),no
tri02910,RPCEC00000309,experimental,NA,NA,drug,Homeostec,defined_soc
tri02289,NCT04400838,control,other_unknown,NA,NA,NA,NA
tri02910,RPCEC00000309,experimental,NA,NA,drug,Homeostec,undefined_soc
tri02910,RPCEC00000309,control,defined_soc,NA,NA,NA,NA
tri06127,NCT04526821,experimental,NA,NA,drug,Lactoferrin,undefined_soc
tri06127,NCT04526821,control,placebo,undefined_soc,NA,NA,NA
tri05378,NCT04367168,experimental,NA,NA,drug,Colchicine,no
tri05378,NCT04367168,control,placebo,no,NA,NA,NA
tri04659,CTRI/2020/06/025957,experimental,NA,NA,drug,Favipiravir;Umifenovir (Arbidol),no
tri04659,CTRI/2020/06/025957,experimental,NA,NA,drug,Favipiravir,no
tri04829,CTRI/2020/07/026835,control,defined_soc,NA,NA,NA,NA
tri04829,CTRI/2020/07/026835,experimental,NA,NA,device,High flow nasal cannula,no
tri05118,CTRI/2020/10/028537,control,undefined_soc,NA,NA,NA,NA
tri05118,CTRI/2020/10/028537,experimental,NA,NA,traditional_medicine,Traditional Medicine,undefined_soc
tri05118,CTRI/2020/10/028537,experimental,NA,NA,traditional_medicine,Traditional Medicine,undefined_soc
tri07225,ISRCTN27106947,experimental,NA,NA,biologics,VIR-7832,NA
tri07225,ISRCTN27106947,experimental,NA,NA,drug,Nitazoxanide,no
tri02956,NCT04368728,experimental,NA,NA,vaccine_covid,BNT162b2 (Comirnaty),no
tri02956,NCT04368728,experimental,NA,NA,vaccine_covid,BNT162b2 (Comirnaty),no
tri02956,NCT04368728,experimental,NA,NA,vaccine_covid,BNT162b2 (Comirnaty),no
tri02956,NCT04368728,control,placebo,no,NA,NA,NA
tri10295,ISRCTN69254139,experimental,NA,NA,vaccine_covid,BNT162b2 (Comirnaty),no
tri10295,ISRCTN69254139,experimental,NA,NA,vaccine_covid,ChAdOx1 nCoV-19 (Vaxzevria),no
tri10295,ISRCTN69254139,experimental,NA,NA,vaccine_covid,BNT162b2 (Comirnaty);ChAdOx1 nCoV-19 (Vaxzevria),no
tri10295,ISRCTN69254139,experimental,NA,NA,vaccine_covid,BNT162b2 (Comirnaty);ChAdOx1 nCoV-19 (Vaxzevria),no
tri03168,ISRCTN89951424,experimental,NA,NA,vaccine_covid,ChAdOx1 nCoV-19 (Vaxzevria),no
tri02023,NCT04341389,experimental,NA,NA,vaccine_covid,Ad5-nCoV (Convidecia),no
tri02023,NCT04341389,experimental,NA,NA,vaccine_covid,Ad5-nCoV (Convidecia),no
tri02023,NCT04341389,control,placebo,no,NA,NA,NA
tri06979,NCT04505722,experimental,NA,NA,vaccine_covid,Ad26.COV2.S (Janssen),no
tri06979,NCT04505722,control,placebo,no,NA,NA,NA
tri07015,NCT04564716,experimental,NA,NA,vaccine_covid,Gam-COVID-Vac (Sputnik V),no
tri07015,NCT04564716,control,placebo,no,NA,NA,NA
tri07021,NCT04569786,experimental,NA,NA,vaccine_covid,V590 (MSD),no
tri07021,NCT04569786,experimental,NA,NA,vaccine_covid,V590 (MSD),no
tri07021,NCT04569786,experimental,NA,NA,vaccine_covid,V590 (MSD),no
tri07021,NCT04569786,experimental,NA,NA,vaccine_covid,V590 (MSD),no
tri06250,NCT04540419,experimental,NA,NA,vaccine_covid,Ad5-nCoV (Convidecia),no
tri06250,NCT04540419,control,placebo,no,NA,NA,NA
tri06407,NCT04563702,experimental,NA,NA,vaccine_covid,VXA-CoV2-1,no
