id,trn,registry,ids_old,resolved
tri00032,ChiCTR2000029811,ChiCTR,tri00032,NA
tri00033,ChiCTR2000029810,ChiCTR,tri00033,NA
tri00034,ChiCTR2000029806,ChiCTR,tri00034,NA
tri00035,ChiCTR2000029805,ChiCTR,tri00035,NA
tri00036,ChiCTR2000029804,ChiCTR,tri00036,NA
tri00037,ChiCTR2000029790,ChiCTR,tri00037,NA
tri00038,ChiCTR2000029789,ChiCTR,tri00038,NA
tri00039,ChiCTR2000029788,ChiCTR,tri00039,NA
tri00040,ChiCTR2000029782,ChiCTR,tri00040,NA
tri00041,ChiCTR2000029779,ChiCTR,tri00041,NA
tri00042,ChiCTR2000029778,ChiCTR,tri00042,NA
tri00043,ChiCTR2000029777,ChiCTR,tri00043,NA
tri00044,ChiCTR2000029776,ChiCTR,tri00044,NA
tri00045,ChiCTR2000029769,ChiCTR,tri00045,NA
tri00046,ChiCTR2000029768,ChiCTR,tri00046,NA
tri00047,ChiCTR2000029765,ChiCTR,tri00047,NA
tri00048,ChiCTR2000029764,ChiCTR,tri00048,NA
tri00049,ChiCTR2000029763,ChiCTR,tri00049,NA
tri00050,ChiCTR2000029758,ChiCTR,tri00050,NA
tri00051,ChiCTR2000029756,ChiCTR,tri00051,NA
tri00052,ChiCTR2000029754,ChiCTR,tri00052,NA
tri00053,ChiCTR2000029751,ChiCTR,tri00053,NA
tri00054,ChiCTR2000029747,ChiCTR,tri00054,NA
tri00055,ChiCTR2000029742,ChiCTR,tri00055,NA
tri00056,ChiCTR2000029741,ChiCTR,tri00056,NA
tri00057,ChiCTR2000029739,ChiCTR,tri00057,NA
tri00058,ChiCTR2000029735,ChiCTR,tri00058,NA
tri00059,ChiCTR2000029734,ChiCTR,tri00059,NA
tri00060,ChiCTR2000029732,ChiCTR,tri00060,NA
tri00061,ChiCTR2000029695,ChiCTR,tri00061,NA
tri00062,ChiCTR2000029656,ChiCTR,tri00062,NA
tri00063,ChiCTR2000029639,ChiCTR,tri00063,NA
tri00064,ChiCTR2000029637,ChiCTR,tri00064,NA
tri00065,ChiCTR2000029636,ChiCTR,tri00065,NA
tri00066,ChiCTR2000029628,ChiCTR,tri00066,NA
tri00067,ChiCTR2000029626,ChiCTR,tri00067,NA
tri00068,ChiCTR2000029625,ChiCTR,tri00068,NA
tri00069,ChiCTR2000029624,ChiCTR,tri00069,NA
tri00070,ChiCTR2000029621,ChiCTR,tri00070,NA
tri00071,ChiCTR2000029609,ChiCTR,tri00071,NA
tri00072,ChiCTR2000029606,ChiCTR,tri00072,NA
tri00073,ChiCTR2000029603,ChiCTR,tri00073,NA
tri00074,ChiCTR2000029602,ChiCTR,tri00074,NA
tri00075,ChiCTR2000029601,ChiCTR,tri00075,NA
tri00076,ChiCTR2000029600,ChiCTR,tri00076,NA
tri00077,ChiCTR2000029578,ChiCTR,tri00077,NA
tri00078,ChiCTR2000029572,ChiCTR,tri00078,NA
tri00079,ChiCTR2000029569,ChiCTR,tri00079,NA
tri00080,ChiCTR2000029559,ChiCTR,tri00080,NA
tri00081,ChiCTR2000029558,ChiCTR,tri00081,NA
tri00082,ChiCTR2000029548,ChiCTR,tri00082,NA
tri00083,ChiCTR2000029544,ChiCTR,tri00083,NA
tri00084,ChiCTR2000029542,ChiCTR,tri00084,NA
tri00085,ChiCTR2000029541,ChiCTR,tri00085,NA
tri00086,ChiCTR2000029539,ChiCTR,tri00086,NA
tri00087,ChiCTR2000029518,ChiCTR,tri00087,NA
tri00088,ChiCTR2000029517,ChiCTR,tri00088,NA
tri00089,ChiCTR2000029495,ChiCTR,tri00089,NA
tri00090,ChiCTR2000029493,ChiCTR,tri00090,NA
tri00091,ChiCTR2000029487,ChiCTR,tri00091,NA
tri00092,ChiCTR2000029468,ChiCTR,tri00092,NA
tri00093,ChiCTR2000029462,ChiCTR,tri00093,NA
tri00094,ChiCTR2000029461,ChiCTR,tri00094,NA
tri00095,ChiCTR2000029460,ChiCTR,tri00095,NA
tri00096,ChiCTR2000029459,ChiCTR,tri00096,NA
tri00097,ChiCTR2000029439,ChiCTR,tri00097,NA
tri00098,ChiCTR2000029438,ChiCTR,tri00098,NA
tri00099,ChiCTR2000029437,ChiCTR,tri00099,NA
tri00100,ChiCTR2000029436,ChiCTR,tri00100,NA
tri00101,ChiCTR2000029435,ChiCTR,tri00101,NA
tri00102,ChiCTR2000029432,ChiCTR,tri00102,NA
tri00103,ChiCTR2000029431,ChiCTR,tri00103,NA
tri00104,ChiCTR2000029430,ChiCTR,tri00104,NA
tri00105,ChiCTR2000029418,ChiCTR,tri00105,NA
tri00106,ChiCTR2000029400,ChiCTR,tri00106,NA
tri00107,ChiCTR2000029381,ChiCTR,tri00107,NA
tri00108,NCT04268537,ClinicalTrials.gov,tri00108,NA
tri00109,ChiCTR2000030188,ChiCTR,tri00109,NA
tri00110,ChiCTR2000030185,ChiCTR,tri00110,NA
tri00111,ChiCTR2000030179,ChiCTR,tri00111,NA
tri00112,ChiCTR2000030173,ChiCTR,tri00112,NA
tri00113,ChiCTR2000030170,ChiCTR,tri00113,NA
tri00114,ChiCTR2000030167,ChiCTR,tri00114,NA
tri00115,ChiCTR2000030166,ChiCTR,tri00115,NA
tri00116,ChiCTR2000030165,ChiCTR,tri00116,NA
tri00117,ChiCTR2000030164,ChiCTR,tri00117,NA
tri00118,ChiCTR2000030138,ChiCTR,tri00118,NA
tri00119,ChiCTR2000030137,ChiCTR,tri00119,NA
tri07287,NCT04283825,ClinicalTrials.gov,tri00120; tri07287,NA
tri07287,ChiCTR2000030136,ChiCTR,tri00120; tri07287,NA
tri00121,ChiCTR2000030118,ChiCTR,tri00121,NA
tri00122,ChiCTR2000030117,ChiCTR,tri00122,NA
tri00123,ChiCTR2000030116,ChiCTR,tri00123,NA
tri00124,ChiCTR2000030115,ChiCTR,tri00124,NA
tri00125,ChiCTR2000030113,ChiCTR,tri00125,NA
tri00126,ChiCTR2000030102,ChiCTR,tri00126,NA
tri00127,ChiCTR2000030096,ChiCTR,tri00127,NA
tri00128,ChiCTR2000030094,ChiCTR,tri00128,NA
tri00129,ChiCTR2000030093,ChiCTR,tri00129,NA
tri00130,ChiCTR2000030092,ChiCTR,tri00130,NA
tri00131,ChiCTR2000030090,ChiCTR,tri00131,NA
tri00132,ChiCTR2000030089,ChiCTR,tri00132,NA
tri00133,ChiCTR2000030088,ChiCTR,tri00133,NA
tri00134,ChiCTR2000030087,ChiCTR,tri00134,NA
tri00135,ChiCTR2000030086,ChiCTR,tri00135,NA
tri00136,ChiCTR2000030084,ChiCTR,tri00136,NA
tri00137,ChiCTR2000030058,ChiCTR,tri00137,NA
tri00138,ChiCTR2000030056,ChiCTR,tri00138,NA
tri00139,ChiCTR2000030054,ChiCTR,tri00139,NA
tri00140,ChiCTR2000030046,ChiCTR,tri00140,NA
tri00141,ChiCTR2000030043,ChiCTR,tri00141,NA
tri00142,ChiCTR2000030041,ChiCTR,tri00142,NA
tri00143,ChiCTR2000030039,ChiCTR,tri00143,NA
tri00144,ChiCTR2000030034,ChiCTR,tri00144,NA
tri00145,ChiCTR2000030033,ChiCTR,tri00145,NA
tri00146,ChiCTR2000030032,ChiCTR,tri00146,NA
tri00147,ChiCTR2000030030,ChiCTR,tri00147,NA
tri00148,ChiCTR2000030029,ChiCTR,tri00148,NA
tri00149,ChiCTR2000030027,ChiCTR,tri00149,NA
tri00150,ChiCTR2000030021,ChiCTR,tri00150,NA
tri00151,ChiCTR2000030020,ChiCTR,tri00151,NA
tri00152,ChiCTR2000030019,ChiCTR,tri00152,NA
tri00153,ChiCTR2000030017,ChiCTR,tri00153,NA
tri00154,ChiCTR2000030016,ChiCTR,tri00154,NA
tri00155,ChiCTR2000030015,ChiCTR,tri00155,NA
tri00156,ChiCTR2000030012,ChiCTR,tri00156,NA
tri00157,ChiCTR2000030010,ChiCTR,tri00157,NA
tri00158,ChiCTR2000030008,ChiCTR,tri00158,NA
tri00159,ChiCTR2000030007,ChiCTR,tri00159,NA
tri00160,ChiCTR2000030006,ChiCTR,tri00160,NA
tri00161,ChiCTR2000030004,ChiCTR,tri00161,NA
tri00162,ChiCTR2000030003,ChiCTR,tri00162,NA
tri00163,ChiCTR2000030002,ChiCTR,tri00163,NA
tri00164,ChiCTR2000030001,ChiCTR,tri00164,NA
tri00165,ChiCTR2000030000,ChiCTR,tri00165,NA
tri00166,ChiCTR2000029999,ChiCTR,tri00166,NA
tri00167,ChiCTR2000029996,ChiCTR,tri00167,NA
tri00168,ChiCTR2000029995,ChiCTR,tri00168,NA
tri00169,ChiCTR2000029994,ChiCTR,tri00169,NA
tri00170,ChiCTR2000029992,ChiCTR,tri00170,NA
tri00171,ChiCTR2000029990,ChiCTR,tri00171,NA
tri00172,ChiCTR2000029989,ChiCTR,tri00172,NA
tri00173,ChiCTR2000029988,ChiCTR,tri00173,NA
tri00174,ChiCTR2000029985,ChiCTR,tri00174,NA
tri00175,ChiCTR2000029981,ChiCTR,tri00175,NA
tri00176,ChiCTR2000029978,ChiCTR,tri00176,NA
tri00177,ChiCTR2000029974,ChiCTR,tri00177,NA
tri00178,ChiCTR2000029972,ChiCTR,tri00178,NA
tri00179,ChiCTR2000029960,ChiCTR,tri00179,NA
tri00180,ChiCTR2000029959,ChiCTR,tri00180,NA
tri00181,ChiCTR2000029956,ChiCTR,tri00181,NA
tri00182,ChiCTR2000029954,ChiCTR,tri00182,NA
tri00183,ChiCTR2000029866,ChiCTR,tri00183,NA
tri00184,ChiCTR2000029865,ChiCTR,tri00184,NA
tri00185,ChiCTR2000029851,ChiCTR,tri00185,NA
tri00186,ChiCTR2000029803,ChiCTR,tri00186,NA
tri00187,ChiCTR2000029781,ChiCTR,tri00187,NA
tri00188,ChiCTR2000029780,ChiCTR,tri00188,NA
tri00189,ChiCTR2000029740,ChiCTR,tri00189,NA
tri00190,NCT04270383,ClinicalTrials.gov,tri00190,NA
tri00191,NCT04273529,ClinicalTrials.gov,tri00191,NA
tri00192,NCT04273581,ClinicalTrials.gov,tri00192,NA
tri00193,NCT04275245,ClinicalTrials.gov,tri00193,NA
tri00194,NCT04275947,ClinicalTrials.gov,tri00194,NA
tri00195,NCT04279197,ClinicalTrials.gov,tri00195,NA
tri00196,NCT04279782,ClinicalTrials.gov,tri00196,NA
tri00197,NCT04279795,ClinicalTrials.gov,tri00197,NA
tri00198,NCT04279899,ClinicalTrials.gov,tri00198,NA
tri00199,NCT04280588,ClinicalTrials.gov,tri00199,NA
tri00200,ChiCTR2000030442,ChiCTR,tri00200,NA
tri00201,ChiCTR2000030433,ChiCTR,tri00201,NA
tri00202,ChiCTR2000030432,ChiCTR,tri00202,NA
tri00203,ChiCTR2000030424,ChiCTR,tri00203,NA
tri00204,ChiCTR2000030420,ChiCTR,tri00204,NA
tri00205,ChiCTR2000030418,ChiCTR,tri00205,NA
tri00206,ChiCTR2000030398,ChiCTR,tri00206,NA
tri00207,ChiCTR2000030391,ChiCTR,tri00207,NA
tri00208,ChiCTR2000030390,ChiCTR,tri00208,NA
tri00209,ChiCTR2000030389,ChiCTR,tri00209,NA
tri00210,ChiCTR2000030387,ChiCTR,tri00210,NA
tri00211,ChiCTR2000030386,ChiCTR,tri00211,NA
tri00212,ChiCTR2000030382,ChiCTR,tri00212,NA
tri00213,ChiCTR2000030363,ChiCTR,tri00213,NA
tri00214,ChiCTR2000030334,ChiCTR,tri00214,NA
tri00216,ChiCTR2000030327,ChiCTR,tri00216,NA
tri00217,ChiCTR2000030325,ChiCTR,tri00217,NA
tri00218,ChiCTR2000030324,ChiCTR,tri00218,NA
tri00219,ChiCTR2000030322,ChiCTR,tri00219,NA
tri00220,ChiCTR2000030317,ChiCTR,tri00220,NA
tri00221,ChiCTR2000030315,ChiCTR,tri00221,NA
tri00222,ChiCTR2000030314,ChiCTR,tri00222,NA
tri00223,ChiCTR2000030305,ChiCTR,tri00223,NA
tri00224,ChiCTR2000030293,ChiCTR,tri00224,NA
tri00225,ChiCTR2000030290,ChiCTR,tri00225,NA
tri00226,ChiCTR2000030283,ChiCTR,tri00226,NA
tri00227,ChiCTR2000030265,ChiCTR,tri00227,NA
tri00228,ChiCTR2000030264,ChiCTR,tri00228,NA
tri00229,ChiCTR2000030263,ChiCTR,tri00229,NA
tri00230,ChiCTR2000030261,ChiCTR,tri00230,NA
tri00231,ChiCTR2000030260,ChiCTR,tri00231,NA
tri00232,ChiCTR2000030259,ChiCTR,tri00232,NA
tri00233,ChiCTR2000030258,ChiCTR,tri00233,NA
tri00234,ChiCTR2000030257,ChiCTR,tri00234,NA
tri00235,ChiCTR2000030255,ChiCTR,tri00235,NA
tri00236,ChiCTR2000030253,ChiCTR,tri00236,NA
tri00237,ChiCTR2000030226,ChiCTR,tri00237,NA
tri00238,ChiCTR2000030225,ChiCTR,tri00238,NA
tri00239,ChiCTR2000030223,ChiCTR,tri00239,NA
tri00240,ChiCTR2000030222,ChiCTR,tri00240,NA
tri00241,ChiCTR2000030219,ChiCTR,tri00241,NA
tri00242,ChiCTR2000030218,ChiCTR,tri00242,NA
tri00243,ChiCTR2000030215,ChiCTR,tri00243,NA
tri00244,ChiCTR2000030196,ChiCTR,tri00244,NA
tri00245,ChiCTR2000030162,ChiCTR,tri00245,NA
tri00246,ChiCTR2000030091,ChiCTR,tri00246,NA
tri00247,ChiCTR2000030042,ChiCTR,tri00247,NA
tri00248,ChiCTR2000030022,ChiCTR,tri00248,NA
tri00249,ChiCTR2000030013,ChiCTR,tri00249,NA
tri00250,ChiCTR2000029991,ChiCTR,tri00250,NA
tri00251,ChiCTR2000029975,ChiCTR,tri00251,NA
tri00252,ChiCTR2000029952,ChiCTR,tri00252,NA
tri00253,ChiCTR2000029900,ChiCTR,tri00253,NA
tri00254,ChiCTR2000029899,ChiCTR,tri00254,NA
tri00255,ChiCTR2000029898,ChiCTR,tri00255,NA
tri00256,ChiCTR2000029829,ChiCTR,tri00256,NA
tri00257,ChiCTR2000029762,ChiCTR,tri00257,NA
tri00258,ChiCTR2000029761,ChiCTR,tri00258,NA
tri00259,ChiCTR2000029760,ChiCTR,tri00259,NA
tri00260,ChiCTR2000029759,ChiCTR,tri00260,NA
tri00261,ChiCTR2000029755,ChiCTR,tri00261,NA
tri00262,ChiCTR2000029728,ChiCTR,tri00262,NA
tri00263,ChiCTR2000029387,ChiCTR,tri00263,NA
tri00264,ChiCTR2000029386,ChiCTR,tri00264,NA
tri00265,NCT04276987,ClinicalTrials.gov,tri00265,NA
tri00266,NCT04281693,ClinicalTrials.gov,tri00266,NA
tri00267,NCT04282902,ClinicalTrials.gov,tri00267,NA
tri00267,ChiCTR2000030333,ChiCTR,tri00267,NA
tri00268,NCT04284046,ClinicalTrials.gov,tri00268,NA
tri00269,NCT04286503,ClinicalTrials.gov,tri00269,NA
tri00270,ChiCTR2000030627,ChiCTR,tri00270,NA
tri00271,ChiCTR2000030593,ChiCTR,tri00271,NA
tri00272,ChiCTR2000030581,ChiCTR,tri00272,NA
tri00273,ChiCTR2000030579,ChiCTR,tri00273,NA
tri00274,ChiCTR2000030578,ChiCTR,tri00274,NA
tri00275,ChiCTR2000030574,ChiCTR,tri00275,NA
tri00276,ChiCTR2000030564,ChiCTR,tri00276,NA
tri00277,ChiCTR2000030559,ChiCTR,tri00277,NA
tri00278,ChiCTR2000030557,ChiCTR,tri00278,NA
tri00279,ChiCTR2000030556,ChiCTR,tri00279,NA
tri00280,ChiCTR2000030552,ChiCTR,tri00280,NA
tri00281,ChiCTR2000030544,ChiCTR,tri00281,NA
tri00282,ChiCTR2000030543,ChiCTR,tri00282,NA
tri00283,ChiCTR2000030542,ChiCTR,tri00283,NA
tri00284,ChiCTR2000030541,ChiCTR,tri00284,NA
tri00285,ChiCTR2000030540,ChiCTR,tri00285,NA
tri00286,ChiCTR2000030535,ChiCTR,tri00286,NA
tri00287,ChiCTR2000030522,ChiCTR,tri00287,NA
tri00288,ChiCTR2000030518,ChiCTR,tri00288,NA
tri00289,ChiCTR2000030503,ChiCTR,tri00289,NA
tri00290,ChiCTR2000030493,ChiCTR,tri00290,NA
tri00291,ChiCTR2000030492,ChiCTR,tri00291,NA
tri00292,ChiCTR2000030491,ChiCTR,tri00292,NA
tri00293,ChiCTR2000030490,ChiCTR,tri00293,NA
tri00294,ChiCTR2000030489,ChiCTR,tri00294,NA
tri00295,ChiCTR2000030487,ChiCTR,tri00295,NA
tri00296,ChiCTR2000030485,ChiCTR,tri00296,NA
tri00297,ChiCTR2000030484,ChiCTR,tri00297,NA
tri00298,ChiCTR2000030482,ChiCTR,tri00298,NA
tri00299,ChiCTR2000030481,ChiCTR,tri00299,NA
tri00327,ChiCTR2000030480,ChiCTR,tri00300,NA
tri00327,NCT04293887,ClinicalTrials.gov,tri00300; tri00327,NA
tri00301,ChiCTR2000030479,ChiCTR,tri00301,NA
tri00302,ChiCTR2000030477,ChiCTR,tri00302,NA
tri00303,ChiCTR2000030475,ChiCTR,tri00303,NA
tri00304,ChiCTR2000030472,ChiCTR,tri00304,NA
tri00305,ChiCTR2000030471,ChiCTR,tri00305,NA
tri00306,ChiCTR2000030469,ChiCTR,tri00306,NA
tri00307,ChiCTR2000030468,ChiCTR,tri00307,NA
tri00308,ChiCTR2000030467,ChiCTR,tri00308,NA
tri00309,ChiCTR2000030465,ChiCTR,tri00309,NA
tri00310,ChiCTR2000030464,ChiCTR,tri00310,NA
tri00311,ChiCTR2000030453,ChiCTR,tri00311,NA
tri00312,ChiCTR2000030436,ChiCTR,tri00312,NA
tri00313,ChiCTR2000030312,ChiCTR,tri00313,NA
tri00314,ChiCTR2000030304,ChiCTR,tri00314,NA
tri00315,ChiCTR2000030163,ChiCTR,tri00315,NA
tri00316,ChiCTR2000030014,ChiCTR,tri00316,NA
tri00317,ChiCTR2000029993,ChiCTR,tri00317,NA
tri00318,ChiCTR2000029958,ChiCTR,tri00318,NA
tri00319,ChiCTR2000029757,ChiCTR,tri00319,NA
tri00320,ChiCTR2000029580,ChiCTR,tri00320,NA
tri00321,ChiCTR2000029579,ChiCTR,tri00321,NA
tri00322,ChiCTR2000029550,ChiCTR,tri00322,NA
tri00323,ChiCTR2000029549,ChiCTR,tri00323,NA
tri00324,ChiCTR2000029308,ChiCTR,tri00324,NA
tri00325,NCT04292327,ClinicalTrials.gov,tri00325,NA
tri00326,NCT04292340,ClinicalTrials.gov,tri00326,NA
tri00328,NCT04295551,ClinicalTrials.gov,tri00328,NA
tri00329,NCT04296643,ClinicalTrials.gov,tri00329,NA
tri00330,NCT04298814,ClinicalTrials.gov,tri00330,NA
tri00331,NCT04299711,ClinicalTrials.gov,tri00331,NA
tri00332,ChiCTR2000030902,ChiCTR,tri00332,NA
tri00333,ChiCTR2000030901,ChiCTR,tri00333,NA
tri00334,ChiCTR2000030898,ChiCTR,tri00334,NA
tri00335,ChiCTR2000030897,ChiCTR,tri00335,NA
tri00336,ChiCTR2000030896,ChiCTR,tri00336,NA
tri00337,ChiCTR2000030895,ChiCTR,tri00337,NA
tri00338,ChiCTR2000030893,ChiCTR,tri00338,NA
tri00339,ChiCTR2000030892,ChiCTR,tri00339,NA
tri00340,ChiCTR2000030883,ChiCTR,tri00340,NA
tri00341,ChiCTR2000030866,ChiCTR,tri00341,NA
tri00342,ChiCTR2000030865,ChiCTR,tri00342,NA
tri00343,ChiCTR2000030864,ChiCTR,tri00343,NA
tri00344,ChiCTR2000030863,ChiCTR,tri00344,NA
tri00345,ChiCTR2000030862,ChiCTR,tri00345,NA
tri00346,ChiCTR2000030861,ChiCTR,tri00346,NA
tri00347,ChiCTR2000030860,ChiCTR,tri00347,NA
tri00348,ChiCTR2000030859,ChiCTR,tri00348,NA
tri00349,ChiCTR2000030858,ChiCTR,tri00349,NA
tri00350,ChiCTR2000030857,ChiCTR,tri00350,NA
tri00351,ChiCTR2000030856,ChiCTR,tri00351,NA
tri00352,ChiCTR2000030855,ChiCTR,tri00352,NA
tri00353,ChiCTR2000030854,ChiCTR,tri00353,NA
tri00354,ChiCTR2000030853,ChiCTR,tri00354,NA
tri00355,ChiCTR2000030852,ChiCTR,tri00355,NA
tri00356,ChiCTR2000030850,ChiCTR,tri00356,NA
tri00357,ChiCTR2000030849,ChiCTR,tri00357,NA
tri00358,ChiCTR2000030841,ChiCTR,tri00358,NA
tri00359,ChiCTR2000030839,ChiCTR,tri00359,NA
tri00360,ChiCTR2000030838,ChiCTR,tri00360,NA
tri00361,ChiCTR2000030836,ChiCTR,tri00361,NA
tri00362,ChiCTR2000030835,ChiCTR,tri00362,NA
tri00363,ChiCTR2000030834,ChiCTR,tri00363,NA
tri00364,ChiCTR2000030833,ChiCTR,tri00364,NA
tri00365,ChiCTR2000030832,ChiCTR,tri00365,NA
tri00366,ChiCTR2000030831,ChiCTR,tri00366,NA
tri00367,ChiCTR2000030830,ChiCTR,tri00367,NA
tri00368,ChiCTR2000030819,ChiCTR,tri00368,NA
tri00369,ChiCTR2000030818,ChiCTR,tri00369,NA
tri00370,ChiCTR2000030816,ChiCTR,tri00370,NA
tri00371,ChiCTR2000030814,ChiCTR,tri00371,NA
tri00372,ChiCTR2000030812,ChiCTR,tri00372,NA
tri00373,ChiCTR2000030810,ChiCTR,tri00373,NA
tri00374,ChiCTR2000030809,ChiCTR,tri00374,NA
tri00375,ChiCTR2000030807,ChiCTR,tri00375,NA
tri00376,ChiCTR2000030806,ChiCTR,tri00376,NA
tri00377,ChiCTR2000030805,ChiCTR,tri00377,NA
tri00378,ChiCTR2000030804,ChiCTR,tri00378,NA
tri00379,ChiCTR2000030803,ChiCTR,tri00379,NA
tri00380,ChiCTR2000030802,ChiCTR,tri00380,NA
tri00381,ChiCTR2000030801,ChiCTR,tri00381,NA
tri00382,ChiCTR2000030800,ChiCTR,tri00382,NA
tri00383,ChiCTR2000030799,ChiCTR,tri00383,NA
tri00384,ChiCTR2000030798,ChiCTR,tri00384,NA
tri00385,ChiCTR2000030797,ChiCTR,tri00385,NA
tri00386,ChiCTR2000030796,ChiCTR,tri00386,NA
tri00387,ChiCTR2000030795,ChiCTR,tri00387,NA
tri00388,ChiCTR2000030784,ChiCTR,tri00388,NA
tri00389,ChiCTR2000030782,ChiCTR,tri00389,NA
tri00390,ChiCTR2000030779,ChiCTR,tri00390,NA
tri00391,ChiCTR2000030778,ChiCTR,tri00391,NA
tri00392,ChiCTR2000030773,ChiCTR,tri00392,NA
tri00393,ChiCTR2000030768,ChiCTR,tri00393,NA
tri00394,ChiCTR2000030764,ChiCTR,tri00394,NA
tri00395,ChiCTR2000030763,ChiCTR,tri00395,NA
tri00396,ChiCTR2000030762,ChiCTR,tri00396,NA
tri00397,ChiCTR2000030761,ChiCTR,tri00397,NA
tri00398,ChiCTR2000030760,ChiCTR,tri00398,NA
tri00399,ChiCTR2000030759,ChiCTR,tri00399,NA
tri00400,ChiCTR2000030758,ChiCTR,tri00400,NA
tri00401,ChiCTR2000030757,ChiCTR,tri00401,NA
tri00402,ChiCTR2000030756,ChiCTR,tri00402,NA
tri00403,ChiCTR2000030755,ChiCTR,tri00403,NA
tri00404,ChiCTR2000030754,ChiCTR,tri00404,NA
tri00405,ChiCTR2000030753,ChiCTR,tri00405,NA
tri00406,ChiCTR2000030752,ChiCTR,tri00406,NA
tri00407,ChiCTR2000030751,ChiCTR,tri00407,NA
tri00408,ChiCTR2000030747,ChiCTR,tri00408,NA
tri00409,ChiCTR2000030744,ChiCTR,tri00409,NA
tri00410,ChiCTR2000030742,ChiCTR,tri00410,NA
tri00411,ChiCTR2000030741,ChiCTR,tri00411,NA
tri00412,ChiCTR2000030740,ChiCTR,tri00412,NA
tri00413,ChiCTR2000030739,ChiCTR,tri00413,NA
tri00414,ChiCTR2000030722,ChiCTR,tri00414,NA
tri00415,ChiCTR2000030721,ChiCTR,tri00415,NA
tri00416,ChiCTR2000030720,ChiCTR,tri00416,NA
tri00417,ChiCTR2000030719,ChiCTR,tri00417,NA
tri00418,ChiCTR2000030718,ChiCTR,tri00418,NA
tri00419,ChiCTR2000030717,ChiCTR,tri00419,NA
tri00420,ChiCTR2000030716,ChiCTR,tri00420,NA
tri00421,ChiCTR2000030708,ChiCTR,tri00421,NA
tri00422,ChiCTR2000030707,ChiCTR,tri00422,NA
tri00423,ChiCTR2000030706,ChiCTR,tri00423,NA
tri00424,ChiCTR2000030703,ChiCTR,tri00424,NA
tri00425,ChiCTR2000030702,ChiCTR,tri00425,NA
tri00426,ChiCTR2000030701,ChiCTR,tri00426,NA
tri00427,ChiCTR2000030700,ChiCTR,tri00427,NA
tri00428,ChiCTR2000030697,ChiCTR,tri00428,NA
tri00429,ChiCTR2000030690,ChiCTR,tri00429,NA
tri00430,ChiCTR2000030687,ChiCTR,tri00430,NA
tri00431,ChiCTR2000030686,ChiCTR,tri00431,NA
tri00432,ChiCTR2000030683,ChiCTR,tri00432,NA
tri00433,ChiCTR2000030681,ChiCTR,tri00433,NA
tri00434,ChiCTR2000030679,ChiCTR,tri00434,NA
tri00435,ChiCTR2000030619,ChiCTR,tri00435,NA
tri00436,ChiCTR2000030606,ChiCTR,tri00436,NA
tri00437,ChiCTR2000030597,ChiCTR,tri00437,NA
tri00438,ChiCTR2000030580,ChiCTR,tri00438,NA
tri00439,ChiCTR2000030558,ChiCTR,tri00439,NA
tri00440,ChiCTR2000030545,ChiCTR,tri00440,NA
tri00441,ChiCTR2000030528,ChiCTR,tri00441,NA
tri00442,ChiCTR2000030509,ChiCTR,tri00442,NA
tri00443,ChiCTR2000030483,ChiCTR,tri00443,NA
tri00444,ChiCTR2000030478,ChiCTR,tri00444,NA
tri00445,ChiCTR2000030476,ChiCTR,tri00445,NA
tri00446,ChiCTR2000030466,ChiCTR,tri00446,NA
tri00447,ChiCTR2000030417,ChiCTR,tri00447,NA
tri00448,ChiCTR2000030388,ChiCTR,tri00448,NA
